代號,名稱,發行量(股),市值(億),平均日成交額(元),2020年淨利,2021年淨利,2022年淨利,2023年淨利,2020年現金股利,2021年現金股利,2022年現金股利,2023年現金股利,2020年股利發放率,2021年股利發放率,2022年股利發放率,股價,日期,平均股利發放率,預期現金股利,現金殖利率
2637,慧洋-KY,746400,528,401071757.5444015,111414,8244741,10568984,3270134,1033735,1119613,4105251.0,4851660.0,10.049123090455419,0.49792358547102933,0.45904696231917846,68.0,2024-06-28,3.668697879415209,11997133.671203574,0.23637250313669486
1808,潤隆,451000,528,202721232.1930502,117248,1671830,156636,7701546,616661,74000,784393.0,270616.0,0.6311408296943232,0.46918227331726314,1.7276743532776628,112.5,2024-06-28,0.942665818763083,7259984.165831546,0.14308911881412262
2027,大成鋼,2434000,896,314581384.73745173,573421,9672917,12025615,5330802,2090438,2140137,3184023.0,4287813.0,3.732226409566444,0.32916885361468523,0.3565566501172705,35.9,2024-06-28,1.4726506377661333,7850408.9651049785,0.08984155482000557
9933,中鼎,809200,401,117446274.64478764,766548,1642175,2379298,1891316,2041924,2066848,2405179.0,2267317.0,2.6963060369344123,1.4646301399059174,0.9529352775482516,53.0,2024-06-28,1.7046238181295272,3223982.301209465,0.07517283086974942
6005,群益證,2171000,532,155316840.91119692,3569529,5249590,840040,4131510,1910332,2650236,3728193.0,1122599.0,0.7424609801461202,0.7101874622589573,1.3363637445835912,25.1,2024-06-28,0.9296707289962228,3840943.9135551844,0.0704862523843857
