代號,名稱,發行量(股),市值(億),平均日成交額(元),2020年淨利,2021年淨利,2022年淨利,2023年淨利,2020年現金股利,2021年現金股利,2022年現金股利,2023年現金股利,2020年股利發放率,2021年股利發放率,2022年股利發放率,股價,日期,平均股利發放率,預期現金股利,現金殖利率
2637,慧洋-KY,746400,528,401071757.5444015,111414,8244741,10568984,3270134,1033735,1119613,4105251.0,4851660.0,10.049123090455419,0.49792358547102933,0.45904696231917846,68.0,2024-06-28,3.668697879415209,11997133.671203574,0.23637250313669486
1808,潤隆,451000,528,202721232.1930502,117248,1671830,156636,7701546,616661,74000,784393.0,270616.0,0.6311408296943232,0.46918227331726314,1.7276743532776628,112.5,2024-06-28,0.942665818763083,7259984.165831546,0.14308911881412262
2027,大成鋼,2434000,896,314581384.73745173,573421,9672917,12025615,5330802,2090438,2140137,3184023.0,4287813.0,3.732226409566444,0.32916885361468523,0.3565566501172705,35.9,2024-06-28,1.4726506377661333,7850408.9651049785,0.08984155482000557
9933,中鼎,809200,401,117446274.64478764,766548,1642175,2379298,1891316,2041924,2066848,2405179.0,2267317.0,2.6963060369344123,1.4646301399059174,0.9529352775482516,53.0,2024-06-28,1.7046238181295272,3223982.301209465,0.07517283086974942
6005,群益證,2171000,532,155316840.91119692,3569529,5249590,840040,4131510,1910332,2650236,3728193.0,1122599.0,0.7424609801461202,0.7101874622589573,1.3363637445835912,25.1,2024-06-28,0.9296707289962228,3840943.9135551844,0.0704862523843857
2548,華固,276800,513,229836154.13513514,2780065,2920173,2957246,3581783,2076095,1937689,2076095.0,2076095.0,0.6969941350292169,0.7109493170438874,0.7020366246162815,136.5,2024-06-28,0.7033266922297953,2519163.589674913,0.06667417237488918
2204,中華,553600,700,493836685.1583012,3277320,4181835,7757796,5652246,0,3875342,3044912.0,2214481.0,1.1824728741776818,0.7281282020931003,0.2854523372359882,124.0,2024-06-28,0.7320178045022567,4137544.7074266626,0.06027329484760544
2006,東和鋼鐵,730200,502,131583271.25868726,3562064,5906247,3994004,4729346,1355482,1634807,4673368.0,2555748.0,0.45894936194296343,0.7912584759831413,0.6398962044104112,69.6,2024-06-28,0.6300346807788386,2979651.9974026773,0.05862926857943733
1722,台肥,980000,631,148561706.77606177,2452881,3034616,2669649,3919051,2156000,2254000,2744000.0,2450000.0,0.9189194257691262,0.9042330232227076,0.9177236408231944,64.3,2024-06-28,0.9136253632716761,3580544.3935552253,0.05682141101271504
6147,頎邦,744700,509,361297624.03100777,3661089,6137294,6208691,3994638,2747900,2551788,4432052.0,4062715.0,0.6970024492712414,0.7221508371604815,0.6543593488546942,67.1,2024-06-28,0.6911708784288058,2760977.4554650877,0.05525339734051255
2211,長榮鋼,417100,613,216729974.8764479,1043649,1278260,2594677,3669814,788073,872378,1251274.0,2085457.0,0.835892143814635,0.9788884890397884,0.803744358160958,139.5,2024-06-28,0.8728416636717938,3203166.5571260406,0.05505098881466141
2303,聯電,12530000,7054,3033443461.3706565,29189489,55780255,87198291,60989633,9765694,19871129,37445300.0,45014783.0,0.6807631678649805,0.6713002656585202,0.5162346931776449,55.7,2024-06-28,0.6227660422337152,37982272.36069679,0.05442202249351544
1102,亞泥,3547000,1482,255566907.94594595,14710486,15068221,12016396,10882826,10084585,11933944,12054870.0,8155562.0,0.8112542304856549,0.8000194581696141,0.6787028323633808,43.85,2024-06-28,0.7633255070062166,8307138.674110436,0.05340976587155854
2404,漢唐,190600,678,579250692.1003861,4033304,2769475,3999485,4655215,2477627,3239974,2462131.0,2813801.0,0.8033051810624738,0.8890244540932848,0.703540830881976,366.0,2024-06-28,0.7986234886792448,3717764.0438519507,0.05329394153423974
2301,光寶科,2348000,2524,3668245504.891892,10016038,13886552,14151016,14570616,7443283,12560540,9144103.0,11519737.0,1.2540427662115499,0.6584862102557928,0.8140572380103308,106.0,2024-06-28,0.9088620714925578,13242680.240682608,0.05320738742198341
3596,智易,220400,358,464434119.6177606,1713942,1787544,2013156,2420569,979876,1354449,1478345.0,1432299.0,0.7902536958660211,0.8270257962880914,0.7114694539320351,162.0,2024-06-28,0.7762496486953826,1878965.8358929337,0.05262502061047628
2206,三陽工業,797500,611,677562686.0501931,1938344,1830190,3116035,6297521,811180,1044001,1036931.0,1435481.0,0.5386046026917822,0.5665701375267049,0.46067550589130096,78.9,2024-06-28,0.521950082036596,3286991.602577186,0.052238524263119236
6121,新普,185000,774,482357720.9302326,5050175,6382227,7237486,5673062,2682073,3532937,4809233.0,5105186.0,0.6995672427193117,0.7535352471793937,0.7053811226716017,427.5,2024-06-28,0.7194945375234356,4081737.120031777,0.051610395069154755
3034,聯詠,608500,3736,2535919726.8339767,11817239,38865560,27969522,23317509,6389371,9492779,31338341.0,22514924.0,0.803299230894797,0.8063267581889981,0.8049806500089633,606.0,2024-06-28,0.8048688796975861,18767537.34616838,0.050894878511972524
1402,遠東新,5353000,1903,216664398.84169886,8062699,9684584,8160292,8229199,8028144,7226382,8029313.0,14306261.0,0.8962733198895307,0.829081868668804,1.753155524336629,35.25,2024-06-28,1.159503570964988,9541785.626681507,0.05056771043310508
1210,大成,894800,510,138122001.07335907,3122071,1869385,2193061,4069204,1720349,2111337,1208154.0,1268561.0,0.6762616865535729,0.6462842057682072,0.5784430984819847,57.2,2024-06-28,0.6336629969345883,2578504.0017782142,0.05037856648393934
4763,材料-KY,86300,723,3303172855.644788,504558,357500,1249816,5175744,237649,274960,314103.0,997472.0,0.544952215602567,0.8786097902097902,0.7980950795957165,891.0,2024-06-28,0.7405523618026914,3832909.443286109,0.04984711858232263
