代號,公司名稱,109季,110季,111季,112季
2404,漢唐,"4,033,304","2,769,475","3,999,485","4,655,215"
3532,台勝科,"1,307,911","1,410,770","4,821,749","3,458,841"
3105,穩懋,"6,528,740","5,454,962","1,802,169","-79,657"
2845,遠東銀
1722,台肥,"2,452,881","3,034,616","2,669,649","3,919,051"
6592,和潤企業,"2,585,551","3,141,443","3,623,387","3,689,812"
2539,櫻花建
2211,長榮鋼,"1,043,649","1,278,260","2,594,677","3,669,814"
2206,三陽工業,"1,938,344","1,830,190","3,116,035","6,297,521"
2838,聯邦銀
6531,愛普*,"811,710","2,025,457","1,941,696","1,444,970"
2388,威盛,"4,722,646","3,960,944","-83,635","410,602"
2492,華新科,"6,632,254","7,931,941","1,650,587","1,984,596"
9917,中保科,"2,388,900","2,526,684","2,578,741","2,591,253"
2637,慧洋-KY,"111,414","8,244,741","10,568,984","3,270,134"
1808,潤隆,"117,248","1,671,830","156,636","7,701,546"
2451,創見,"1,197,735","2,533,294","2,454,344","1,984,835"
4919,新唐,"532,785","2,940,752","4,220,773","2,420,434"
2548,華固,"2,780,065","2,920,173","2,957,246","3,581,783"
1210,大成,"3,122,071","1,869,385","2,193,061","4,069,204"
6147,頎邦,"3,661,089","6,137,294","6,208,691","3,994,638"
4915,致伸,"1,919,265","2,298,282","2,742,609","2,485,289"
6223,旺矽,"714,482","693,851","1,213,625","1,311,899"
2006,東和鋼鐵,"3,562,064","5,906,247","3,994,004","4,729,346"
2923,鼎固-KY,"1,177,395","1,171,032","592,803","565,351"
3376,新日興,"1,672,971","1,169,603","1,659,184","807,404"
2634,漢翔,"395,858","558,013","1,627,333","2,225,899"
1907,永豐餘,"5,209,079","5,204,254","2,169,510","1,826,693"
2458,義隆,"5,102,446","2,151,676","2,143,520"
1560,中砂,"676,574","1,247,391","852,122"
2363,矽統,"-299,468","198,311","483,657","571,261"
2392,正崴,"1,967,432","921,042","1,522,518","1,457,132"
2530,華建,"-89,645","-114,623","511,043"
2227,裕日車,"6,540,938","3,025,993","2,410,581","1,161,025"
1609,大亞,"850,045","1,408,768","841,475","2,762,030"
9933,中鼎,"766,548","1,642,175","2,379,298","1,891,316"
2498,宏達電,"-3,411,783","-3,395,757"
3131,弘塑,"396,873","669,510","722,106","616,340"
3042,晶技,"1,429,287","3,116,984","2,805,504","1,713,702"
8210,勤誠,"976,857","672,901","998,685","1,085,456"
8415,大國鋼,"942,256","3,590,819","4,526,473","3,124,950"
3264,欣銓,"1,782,498","2,580,294","3,545,699","2,746,261"
6491,晶碩,"715,359","1,248,574","1,542,135","1,655,902"
3362,先進光,"-993,120","4,077","424,023","400,720"
5371,中光電,"1,560,418","2,031,625","2,358,935","1,391,923"
1717,長興,"2,543,496","3,549,268","2,617,592","1,503,687"
3596,智易,"1,713,942","1,787,544","2,013,156","2,420,569"
1514,亞力,"323,925","508,831","751,699"
2362,藍天,"666,944","1,796,350","824,526","1,060,090"
2597,潤弘,"1,009,976","1,842,218","2,060,529","1,902,201"
4123,晟德,"3,786,465","1,816,180","102,216","-995,421"
8478,東哥遊艇,"1,753,278","2,081,427"
3260,威剛,"1,350,659","2,247,354","829,584","1,409,388"
3714,富采,"2,178,349","38,024","-6,782,678"
6191,精成科,"1,763,154","2,891,371","2,472,580","3,158,956"
5274,信驊,"1,004,689","1,312,925","2,105,614","1,006,810"
2633,台灣高鐵
3293,鈊象,"3,408,539","4,734,706","5,478,229","6,425,804"
6446,藥華藥,"-1,948,142","-2,810,988","-1,374,810","-623,835"
2105,正新,"5,988,702","5,270,007","4,961,369","7,182,382"
2383,台光電,"3,688,999","5,493,218","5,072,874","5,488,309"
6409,旭隼,"2,197,144","2,359,362","4,432,890","3,622,556"
9910,豐泰,"4,878,868","4,541,841","9,081,733","4,974,908"
2324,仁寶,"9,361,893","12,632,667","7,288,292","7,667,627"
2371,大同,"-1,076,337","3,672,119","9,377,353","2,626,671"
9945,潤泰新,"8,557,651","16,242,546","9,155,086","7,744,515"
8299,群聯,"8,699,044","8,147,215","5,401,146","3,624,428"
3036,文曄,"3,794,178","7,923,257","7,631,123","4,012,142"
8046,南電,"3,665,917","10,581,525","19,415,584","5,816,589"
1504,東元,"3,511,358","5,013,134","3,457,667","5,830,061"
5274,信驊,"1,006,810"
2337,旺宏,"5,326,083","11,962,952","8,969,775","-1,699,593"
2101,南港,"844,378","-243,254","-1,023,582","134,011"
3374,精材
2606,裕民,"878,425","4,892,584","4,404,312","2,738,915"
6274,台燿,"1,775,561","1,881,242","1,261,424","823,435"
9939,宏全,"1,655,412","1,964,731","2,215,138","2,474,180"
6414,樺漢,"1,111,524","1,334,944","3,452,916","2,260,964"
2903,遠百,"1,939,139","1,208,100","1,930,174","2,752,303"
8996,高力,"112,524","149,156","301,020","576,526"
8112,至上,"1,595,129","2,881,045","2,206,969","2,162,204"
2504,國產,"2,472,927","2,848,871","4,132,218","3,530,978"
6412,群電,"2,136,627","2,827,207","3,246,597","3,294,677"
3706,神達,"2,918,705","11,960,937","9,294,214","1,783,630"
1802,台玻,"2,468,521","11,476,678","-720,576"
9914,美利達,"3,993,317","4,649,502","3,389,063","1,691,823"
2204,中華,"3,277,320","4,181,835","-7,757,796","5,652,246"
3023,信邦,"2,113,868","2,331,502","2,880,553","3,283,914"
1319,東陽,"819,609","687,538","2,151,321","3,019,410"
3005,神基,"2,577,039","4,273,793","2,565,168","3,744,542"
5522,遠雄,"3,835,390","6,080,658","5,506,108","3,717,627"
1773,勝一,"1,174,007","1,616,808","1,825,317","1,578,461"
6605,帝寶,"590,450","1,135,836","1,800,307","2,368,991"
6548,長科*,"773,840","1,714,378","2,815,901","1,564,512"
2501,國建,"1,483,980","847,539","1,207,749","2,164,437"
6670,復盛應用,"1,129,679","2,362,987","4,801,205","2,404,300"
1227,佳格,"3,212,801","2,456,628","1,214,098","1,225,773"
2607,榮運,"3,526,415","2,723,072"
8016,矽創,"1,384,818","6,005,760","3,610,165","1,858,341"
2329,華泰,"-266,123","1,530,581","1,448,653","1,881,210"
3010,華立,"1,859,120","2,843,277","2,484,800","2,113,717"
3045,台灣大,"11,286,553","10,988,165","11,025,551","12,274,109"
1301,台塑,"20,036,199","71,355,311","36,142,868","7,337,709"
5880,合庫金
2892,第一金
8069,元太,"3,602,589","5,150,045","9,911,750","7,814,326"
2912,統一超,"10,238,162","8,861,619","9,281,650","10,613,914"
3017,奇鋐,"1,915,846","2,900,627","4,162,261","5,304,713"
3037,欣興,"5,461,671","13,222,256","29,618,505","11,980,052"
2609,陽明,"11,977,013","165,268,628","180,591,942","4,774,106"
2867,三商壽
1314,中石化,"680,989","3,603,208","233,114","-1,060,038"
1434,福懋,"2,095,548","2,143,167","3,404,981","444,554"
6257,矽格,"1,783,299","2,787,446","3,033,285","1,737,319"
2441,超豐,"3,158,170","1,997,124"
8070,長華*,"997,299","1,725,500","2,163,818","1,477,214"
6515,穎崴
8926,台汽電
6214,精誠
5534,長虹
6278,台表科6139
5904,寶雅
5434,崇越
6781,AES-KY
6005,群益證
2889,國票金
