代號,名稱,發行量(萬張),市值(億),掛牌年數
2006,東和鋼鐵,73.02,502,35.9
2923,鼎固-KY,174,501,11.5
3376,新日興,18.77,499,18.5
2634,漢翔,94.19,498,9.81
1907,永豐餘,166,496,47.3
2458,義隆,30.39,491,22.7
2337,旺宏,185.6,483,29.3
2101,南港,83.39,479,60.6
3374,精材,27.14,476,9.21
2606,裕民,84.51,476,33.5
6274,台燿,27.2,471,20.5
9939,宏全,28.78,466,23.3
6414,樺漢,13.7,459,10.2
2903,遠百,141.7,454,45.7
8996,高力,8.98,453,18
5508,永信建,21.74,452,26.1
8112,至上,52.01,441,20.3
1560,中砂,14.41,440,19.4
2363,矽統,74.96,432,26.9
4766,南寶,12.06,430,5.55
6643,M31,3.48,427,5.39
5903,全家,22.32,426,22.3
2015,豐興,58.16,424,32.1
3189,景碩,45.44,421,19.6
3030,德律,23.62,418,23.2
6213,聯茂,36.3,414,21.5
3680,家登,9.43,409,12.8
2392,正崴,51.23,408,24.7
2530,華建,84,407,28.7
2227,裕日車,30,406,19.5
1609,大亞,73.68,405,35.5
9933,中鼎,80.92,401,31
2855,統一證,145.6,397,25.3
1773,勝一,25,395,15.3
6605,帝寶,16.58,393,20.2
6548,長科*,95.05,391,7.75
2501,國建,116,390,56.6
6670,復盛應用,13.4,389,5.49
1227,佳格,91.51,386,30.2
2867,三商壽,510,383,11.5
1314,中石化,378.5,382,32.9
1434,福懋,168.5,379,38.5
6257,矽格,46.46,378,20.8
2498,宏達電,83.23,376,22.2
3131,弘塑,2.92,374,13.4
3042,晶技,30.98,367,23.2
8210,勤誠,12.06,367,19.1
8415,大國鋼,103.2,366,7.77
3264,欣銓,49.02,366,19.4
6491,晶碩,7.8,363,4.69
3362,先進光,14.25,363,18.8
5371,中光電,39.1,361,25.4
1717,長興,117.8,361,30.2
3596,智易,22.04,358,15.3
1514,亞力,26.19,356,30.2
2362,藍天,63.23,355,27.2
2597,潤弘,18.5,354,14.2
4123,晟德,71.63,354,20.7
2441,超豐,56.88,354,23.6
8070,長華*,68.94,352,20.6
6515,穎崴,3.48,351,3.4
8926,台汽電,73.03,349,24.1
6214,精誠,27.23,349,21.4
5534,長虹,29.03,347,22.2
6278,台表科,29.24,344,20.3
2607,榮運,106.7,343,33.5
8016,矽創,12.01,340,20.5
2329,華泰,56.03,340,30.2
3010,華立,25.08,337,23.7
8478,東哥遊艇,8.89,336,6.51
3260,威剛,29.59,336,19.7
3714,富采,75.29,335,3.44
6191,精成科,47.43,334,33.3
