證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
4572,駐龍,3.31,112,22.08,2.98,113/1
4576,大銀微系統,0.13,112,-,2.40,113/1
4581,光隆精密-KY,5.66,112,10.93,1.92,113/1
4583,台灣精銳,3.66,112,20.92,2.32,113/1
4588,玖鼎電力,2.96,112,27.73,4.87,113/1
4720,德淵,2.90,112,15.04,1.42,113/1
4722,國精化,2.38,112,18.75,1.47,113/1
4736,泰博,6.01,112,15.52,1.71,113/1
4737,華廣,2.89,112,628.18,2.22,113/1
4739,康普,1.16,112,"1,151.67",1.48,113/1
4746,台耀,2.04,112,213.04,1.58,113/1
4755,三福化,2.56,112,29.93,3.15,113/1
4763,材料-KY,1.51,112,10.42,5.64,113/1
4764,雙鍵,1.19,111,-,1.66,113/1
4766,南寶,4.20,112,17.76,3.52,113/1
4770,上品,3.00,112,19.59,4.55,113/1
4771,望隼,1.20,112,30.52,5.37,113/1
4807,日成-KY,0.00,112,-,0.91,113/1
4904,遠傳,3.83,112,26.95,3.30,113/1
4906,正文,3.93,112,24.81,1.17,113/1
4912,聯德控股-KY,1.35,112,24.60,2.16,113/1
4915,致伸,3.72,112,19.80,2.73,113/1
4916,事欣科,1.31,112,54.55,1.44,113/1
4919,新唐,2.43,112,24.03,3.27,113/1
4927,泰鼎-KY,0.00,112,-,1.16,113/1
4930,燦星網,6.81,112,8.88,0.85,113/1
4934,太極,0.00,112,-,2.46,113/1
4935,茂林-KY,2.44,112,14.15,0.95,113/1
4938,和碩,3.59,112,18.61,1.57,113/1
4942,嘉彰,4.94,112,10.14,0.77,113/1
4943,康控-KY,0.00,111,-,6.82,113/1
4949,有成精密,8.29,112,9.05,1.23,113/1
4952,凌通,1.95,112,36.91,3.33,113/1
4956,光鋐,0.00,111,-,1.40,113/1
4958,臻鼎-KY,2.82,112,16.52,1.12,113/1
4960,誠美材,2.04,111,-,0.91,113/1
4961,天鈺,4.12,112,14.77,1.76,113/1
4967,十銓,1.39,112,17.89,3.85,113/1
4968,立積,0.00,112,-,7.38,113/1
4976,佳凌,0.00,111,-,2.64,113/1
4977,眾達-KY,3.00,112,38.63,1.55,113/1
4989,榮科,1.97,111,-,1.59,113/1
4994,傳奇,3.00,112,35.70,6.78,113/1
4999,鑫禾,2.83,112,32.14,0.78,113/1
5007,三星,5.27,112,15.89,2.63,113/1
5203,訊連,2.68,112,30.92,1.78,113/1
5215,科嘉-KY,2.87,112,16.45,1.00,113/1
5222,全訊,2.49,112,25.93,5.75,113/1
5225,東科-KY,5.79,112,13.06,3.09,113/1
5234,達興材料,2.58,112,30.29,5.78,113/1
5243,乙盛-KY,2.61,112,19.28,1.31,113/1
5244,弘凱,2.54,112,18.92,1.87,113/1
5258,虹堡,1.32,112,15.46,3.42,113/1
5269,祥碩,1.01,112,50.53,7.18,113/1
5283,禾聯碩,7.24,112,17.29,2.09,113/1
5284,jpp-KY,4.12,112,26.70,2.59,113/1
5285,界霖,2.85,112,32.50,2.61,113/1
5288,豐祥-KY,3.69,112,13.34,2.84,113/1
5292,華懋,3.27,112,17.91,4.21,113/1
5306,桂盟,2.47,112,27.77,2.29,113/1
5388,中磊,4.48,112,12.85,2.31,113/1
5434,崇越,3.66,112,17.98,3.62,113/1
5469,瀚宇博,2.90,112,11.20,0.92,113/1
5471,松翰,2.29,112,39.10,2.41,113/1
5484,慧友,0.00,111,-,4.80,113/1
5515,建國,4.12,112,12.86,1.19,113/1
5519,隆大,4.20,112,11.32,2.21,113/1
5521,工信,0.00,111,129.50,1.20,113/1
5522,遠雄,3.74,112,23.94,1.66,113/1
5525,順天,4.83,112,15.59,1.99,113/1
5531,鄉林,0.00,111,-,1.19,113/1
5533,皇鼎,4.87,112,12.51,0.75,113/1
5534,長虹,4.40,112,20.39,1.81,113/1
5538,東明-KY,3.08,112,28.26,0.97,113/1
5546,永固-KY,6.07,112,-,1.16,113/1
5607,遠雄港,2.99,112,23.28,1.88,113/1
5608,四維航,6.20,111,-,0.96,113/1
5706,鳳凰,3.91,112,21.33,3.69,113/1
5871,中租-KY,4.38,112,11.27,1.67,113/1
5876,上海商銀,3.90,112,15.20,1.16,113/1
5880,合庫金,3.87,112,21.54,1.54,113/1
5906,台南-KY,3.05,112,27.41,3.18,113/1
5907,大洋-KY,0.00,111,-,0.35,113/1
6005,群益證,5.47,112,12.03,1.27,113/1
6024,群益期,5.60,112,12.48,1.72,113/1
6108,競國,2.35,112,28.78,0.93,113/1
6112,邁達特,4.41,112,20.87,2.81,113/1
6115,鎰勝,5.34,112,17.29,1.99,113/1
6116,彩晶,0.00,112,-,0.71,113/1
6117,迎廣,0.00,111,50.00,8.89,113/1
6120,達運,0.63,112,31.27,1.15,113/1
6128,上福,6.35,112,11.98,1.23,113/1
6133,金橋,3.27,111,63.75,1.59,113/1
6136,富爾特,5.22,112,25.00,0.64,113/1
6139,亞翔,4.04,112,14.78,3.98,113/1
6141,柏承,0.00,111,-,1.23,113/1
6142,友勁,0.00,112,-,1.07,113/1
6152,百一,0.00,111,-,1.27,113/1
6153,嘉聯益,1.15,111,-,0.99,113/1
6155,鈞寶,2.85,112,31.76,1.69,113/1
6164,華興,3.40,111,-,1.45,113/1
6165,浪凡,0.98,112,47.94,2.32,113/1
6166,凌華,1.35,112,95.13,3.11,113/1
6168,宏齊,2.07,112,47.45,1.63,113/1
6176,瑞儀,4.63,112,15.48,2.72,113/1
6177,達麗,5.67,112,13.13,2.78,113/1
6183,關貿,3.73,112,23.03,4.07,113/1
6184,大豐電,5.42,112,15.75,1.94,113/1
6189,豐藝,3.92,112,16.54,3.18,113/1
6191,精成科,4.58,112,10.84,1.56,113/1
6192,巨路,4.41,112,12.60,1.74,113/1
6196,帆宣,3.69,112,14.91,2.79,113/1
6197,佳必琪,2.46,112,27.02,6.51,113/1
6201,亞弘電,6.14,112,13.77,2.28,113/1
6202,盛群,0.75,112,460.00,3.57,113/1
6205,詮欣,1.97,112,49.16,2.52,113/1
6206,飛捷,4.17,112,20.38,2.80,113/1
6209,今國光,1.60,112,-,1.78,113/1
6213,聯茂,1.35,112,53.61,2.04,113/1
6214,精誠,4.19,112,18.37,2.05,113/1
6215,和椿,1.66,112,61.53,3.50,113/1
6216,居易,4.00,112,21.47,2.22,113/1
6224,聚鼎,2.76,112,36.44,1.83,113/1
6225,天瀚,0.00,112,43.59,4.90,113/1
6226,光鼎,0.00,111,-,1.11,113/1
6230,尼得科超眾,0.34,112,47.82,4.48,113/1
6235,華孚,1.94,112,20.79,4.19,113/1
6239,力成,3.88,112,15.65,2.37,113/1
6243,迅杰,1.89,112,38.42,3.39,113/1
6257,矽格,3.35,112,16.44,2.15,113/1
6269,台郡,5.68,112,14.33,1.17,113/1
6271,同欣電,1.57,112,27.88,1.31,113/1
6277,宏正,5.19,112,20.42,2.16,113/1
6278,台表科,4.37,112,11.53,1.67,113/1
6281,全國電,5.33,112,17.19,3.32,113/1
6282,康舒,1.33,112,-,1.42,113/1
6283,淳安,0.00,111,-,2.80,113/1
6285,啟碁,3.81,112,19.21,2.36,113/1
6288,聯嘉,0.64,112,115.19,2.06,113/1
6405,悅城,0.42,112,-,0.63,113/1
6409,旭隼,2.16,112,42.39,16.08,113/1
6412,群電,4.04,112,17.45,4.83,113/1
6414,樺漢,3.49,112,18.68,1.98,113/1
6415,矽力*-KY,0.40,112,310.76,5.96,113/1
6416,瑞祺電通,2.23,112,31.38,2.82,113/1
6423,億而得-創,1.00,112,84.45,8.94,113/1
6426,統新,0.78,112,-,2.29,113/1
6431,光麗-KY,0.00,111,-,1.54,113/1
6438,迅得,4.69,112,14.16,2.13,113/1
6442,光聖,0.85,112,65.73,6.76,113/1
6443,元晶,1.44,112,38.01,1.86,113/1
6446,藥華藥,0.00,112,363.91,6.58,113/1
6449,鈺邦,1.85,112,24.85,3.45,113/1
6451,訊芯-KY,1.32,112,67.15,2.97,113/1
6456,GIS-KY,0.00,112,-,0.75,113/1
6464,台數科,5.04,112,15.07,1.35,113/1
6472,保瑞,1.55,112,28.92,9.01,113/1
6477,安集,2.14,112,85.00,1.42,113/1
6491,晶碩,2.10,112,20.32,3.85,113/1
6504,南六,1.50,112,29.44,1.45,113/1
6505,台塑化,3.04,112,27.88,1.95,113/1
6515,穎崴,1.22,112,60.29,9.37,113/1
6525,捷敏-KY,5.30,112,15.14,2.15,113/1
6526,達發,0.68,112,97.21,7.56,113/1
6531,愛普*,1.97,112,32.87,5.42,113/1
6533,晶心科,0.00,112,-,4.44,113/1
6534,正瀚-創,4.88,112,17.61,3.27,113/1
6541,泰福-KY,0.00,111,-,13.98,113/1
6550,北極星藥業-KY,0.00,112,-,7.49,113/1
6552,易華電,0.59,112,88.77,1.59,113/1
6558,興能高,0.00,112,"2,525.00",1.58,113/1
6573,虹揚-KY,0.00,111,-,1.74,113/1
6579,研揚,3.74,112,25.70,2.65,113/1
6581,鋼聯,4.10,112,21.26,3.10,113/1
6582,申豐,0.00,112,-,0.92,113/1
6585,鼎基,2.06,112,24.62,4.15,113/1
6591,動力-KY,4.36,112,18.45,1.31,113/1
6592,和潤企業,3.60,112,20.37,2.11,113/1
6598,ABC-KY,0.00,112,-,2.65,113/1
6605,帝寶,2.94,112,13.05,2.05,113/1
6606,建德工業,5.42,112,28.27,1.85,113/1
6625,必應,4.73,112,13.08,4.62,113/1
6641,基士德-KY,2.41,112,20.65,1.03,113/1
6645,金萬林-創,0.00,112,-,3.29,113/1
6655,科定,7.09,112,36.08,4.08,113/1
6657,華安,0.00,112,-,5.09,113/1
6658,聯策,2.64,112,50.56,1.46,113/1
6666,羅麗芬-KY,2.07,112,34.00,1.81,113/1
6668,中揚光,0.00,111,-,3.11,113/1
6669,緯穎,1.60,112,34.18,9.48,113/1
6670,復盛應用,4.10,112,15.41,3.28,113/1
6671,三能-KY,5.50,112,14.95,1.71,113/1
6672,騰輝電子-KY,4.00,112,13.45,1.89,113/1
6674,鋐寶科技,1.72,111,-,1.77,113/1
6689,伊雲谷,1.96,112,36.30,2.34,113/1
6691,洋基工程,4.44,112,20.35,7.69,113/1
6695,芯鼎,0.00,112,-,3.72,113/1
6698,旭暉應材,0.00,111,-,2.08,113/1
6706,惠特,4.57,111,-,1.58,113/1
6715,嘉基,2.01,112,28.61,3.29,113/1
6719,力智,0.84,112,130.92,2.98,113/1
6742,澤米,1.74,112,265.38,3.28,113/1
6743,安普新,0.85,112,-,3.27,113/1
6753,龍德造船,1.35,112,18.93,3.88,113/1
6754,匯僑設計,5.43,112,14.08,2.13,113/1
6756,威鋒電子,1.00,112,64.63,5.01,113/1
6757,台灣虎航-創,0.00,111,9.56,4.24,113/1
6768,志強-KY,3.93,112,22.59,1.32,113/1
6770,力積電,0.00,112,-,1.09,113/1
6771,平和環保-創,5.90,112,14.24,3.09,113/1
6776,展碁國際,5.53,112,12.49,2.31,113/1
6781,AES-KY,1.88,112,29.07,3.84,113/1
6782,視陽,0.87,112,39.96,5.78,113/1
6789,采鈺,0.32,112,215.86,5.90,113/1
6790,永豐實,5.76,112,12.68,2.31,113/1
6792,詠業,4.40,112,21.36,2.41,113/1
6794,向榮生技-創,0.00,112,-,8.36,113/1
6796,晉弘,2.17,112,56.39,3.66,113/1
6799,來頡,2.13,112,26.98,4.51,113/1
6805,富世達,0.78,112,62.28,10.74,113/1
6806,森崴能源,1.14,112,42.69,2.45,113/1
6807,峰源-KY,4.65,112,9.46,1.44,113/1
6830,汎銓,3.38,112,28.85,2.42,113/1
6834,天二科技,3.22,111,-,2.13,113/1
6835,圓裕,3.75,112,13.48,2.25,113/1
6854,錼創科技-KY創,0.00,111,-,4.37,113/1
6861,睿生光電,1.52,112,27.08,2.22,113/1
6863,永道-KY,1.23,112,33.75,3.22,113/1
6869,雲豹能源-創,4.75,112,16.06,3.72,113/1
6873,泓德能源-創,2.52,112,21.85,3.24,113/1
6901,鑽石投資,0.00,112,-,2.89,113/1
6902,走著瞧-創,0.00,112,346.74,10.96,113/1
6906,現觀科,1.88,112,48.04,5.61,113/1
6914,阜爾運通,2.91,112,18.90,4.93,113/1
6916,華凌,3.95,112,31.29,1.52,113/1
6928,攸泰科技,1.39,112,24.04,4.42,113/1
6933,AMAX-KY,0.89,112,54.98,6.54,113/1
6937,天虹,1.00,112,43.96,4.37,113/1
6949,沛爾生醫-創,0.00,111,-,5.27,113/1
8011,台通,0.00,112,85.00,1.26,113/1
8016,矽創,4.49,112,16.00,3.15,113/1
8021,尖點,2.51,112,-,1.03,113/1
8028,昇陽半導體,2.80,112,35.27,2.77,113/1
8033,雷虎,0.00,111,907.50,8.38,113/1
8039,台虹,2.78,112,18.82,1.41,113/1
8046,南電,2.83,112,37.62,2.80,113/1
8070,長華*,4.84,112,21.81,2.14,113/1
8072,陞泰,2.61,112,29.59,1.04,113/1
8081,致新,4.50,112,16.56,4.16,113/1
8101,華冠,0.00,111,-,5.73,113/1
8103,瀚荃,2.73,112,14.85,1.29,113/1
8104,錸寶,4.18,111,-,1.40,113/1
8105,凌巨,0.70,112,25.54,0.79,113/1
8110,華東,1.05,112,90.71,0.93,113/1
8112,至上,4.81,112,18.55,2.80,113/1
8114,振樺電,3.14,112,25.69,2.94,113/1
8131,福懋科,2.32,112,26.58,1.50,113/1
8150,南茂,4.09,112,15.02,1.27,113/1
8162,微矽電子-創,1.33,112,-,1.89,113/1
8163,達方,5.88,112,11.45,1.66,113/1
8201,無敵,0.00,111,-,2.34,113/1
8210,勤誠,1.61,112,26.27,6.08,113/1
8213,志超,2.56,112,10.21,0.69,113/1
8215,明基材,3.61,112,26.56,1.93,113/1
8222,寶一,0.67,112,35.97,3.55,113/1
8249,菱光,3.74,112,18.88,0.75,113/1
8261,富鼎,3.01,112,27.39,1.82,113/1
8271,宇瞻,4.69,112,15.94,1.82,113/1
8341,日友,3.88,112,37.95,2.75,113/1
8367,建新國際,5.06,112,16.82,1.39,113/1
8374,羅昇,0.45,112,-,3.86,113/1
8404,百和興業-KY,3.25,111,-,1.39,113/1
8411,福貞-KY,0.57,112,61.30,0.53,113/1
8422,可寧衛,5.21,112,22.59,3.22,113/1
8429,金麗-KY,0.00,111,-,0.30,113/1
8438,昶昕,2.18,112,28.81,1.65,113/1
8442,威宏-KY,4.31,112,11.58,2.63,113/1
8443,阿瘦,0.00,111,32.84,0.96,113/1
8454,富邦媒,3.35,112,29.12,9.52,113/1
8462,柏文,1.74,112,52.38,5.24,113/1
8463,潤泰材,2.20,112,26.38,1.93,113/1
8464,億豐,3.20,112,18.99,4.90,113/1
8466,美吉吉-KY,0.50,112,-,1.56,113/1
8467,波力-KY,0.00,112,19.57,4.04,113/1
8473,山林水,0.84,112,34.70,1.08,113/1
8476,台境,4.08,112,12.22,2.47,113/1
8478,東哥遊艇,3.21,112,16.42,4.94,113/1
8481,政伸,3.64,112,31.43,2.41,113/1
8482,商億-KY,3.58,112,18.88,1.97,113/1
8487,愛爾達-創,5.52,112,15.89,3.24,113/1
8488,吉源-KY,0.00,111,-,0.47,113/1
8499,鼎炫-KY,3.20,112,11.60,0.66,113/1
8926,台汽電,3.97,112,40.17,2.25,113/1
8940,新天地,0.00,112,13.12,2.25,113/1
8996,高力,0.81,112,76.40,17.25,113/1
9802,鈺齊-KY,3.80,112,19.20,2.02,113/1
9902,台火,1.74,112,29.66,1.31,113/1
9904,寶成,2.93,112,7.74,0.81,113/1
9905,大華,4.53,112,15.78,0.95,113/1
9906,欣巴巴,6.19,112,17.63,5.17,113/1
9907,統一實,2.04,112,43.24,1.19,113/1
9908,大台北,3.71,112,14.13,1.18,113/1
9910,豐泰,2.66,112,28.99,6.28,113/1
9911,櫻花,4.45,112,15.77,3.41,113/1
9912,偉聯,0.00,111,-,1.59,113/1
9914,美利達,2.50,112,46.51,3.30,113/1
9917,中保科,4.08,112,21.72,4.28,113/1
9918,欣天然,3.65,112,18.94,2.38,113/1
9919,康那香,1.39,112,6.44,1.49,113/1
9921,巨大,2.21,112,28.72,2.55,113/1
9924,福興,5.25,112,9.81,1.61,113/1
9925,新保,4.75,112,17.18,1.42,113/1
9926,新海,3.66,112,21.25,2.38,113/1
9927,泰銘,6.40,112,11.82,2.31,113/1
9928,中視,0.00,111,78.10,0.64,113/1
9929,秋雨,0.00,112,-,1.99,113/1
9930,中聯資源,4.57,112,17.20,2.58,113/1
9931,欣高,2.71,112,22.67,1.60,113/1
9933,中鼎,4.22,112,19.84,2.30,113/1
9934,成霖,6.09,112,11.73,1.28,113/1
9935,慶豐富,2.00,112,19.53,1.87,113/1
9937,全國,3.13,112,26.17,3.61,113/1
9938,百和,1.46,112,26.32,1.72,113/1
9939,宏全,3.21,112,17.36,3.08,113/1
9940,信義,5.04,112,13.63,1.77,113/1
9941,裕融,4.09,112,16.69,2.54,113/1
9942,茂順,5.47,112,11.13,2.55,113/1
9943,好樂迪,5.73,112,15.37,3.12,113/1
9944,新麗,2.59,112,231.50,0.68,113/1
9945,潤泰新,3.15,112,9.51,1.31,113/1
9946,三發地產,1.41,112,130.39,2.44,113/1
9955,佳龍,0.00,111,-,2.82,113/1
9958,世紀鋼,0.92,112,46.89,6.58,113/1
