證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
2328,廣宇,3.31,112,18.03,1.55,113/1
2329,華泰,1.97,112,20.40,4.05,113/1
2330,台積電,1.48,112,26.60,6.27,113/1
2331,精英,2.99,112,17.82,1.49,113/1
2332,友訊,3.01,112,28.49,1.21,113/1
2337,旺宏,1.89,112,-,1.02,113/1
2338,光罩,2.05,112,18.79,2.88,113/1
2340,台亞,1.22,112,89.24,2.18,113/1
2342,茂矽,0.00,112,-,2.15,113/1
2344,華邦電,0.00,112,-,1.12,113/1
2345,智邦,1.88,112,32.54,9.80,113/1
2347,聯強,3.63,112,17.76,1.96,113/1
2348,海悅,3.89,112,13.28,4.20,113/1
2349,錸德,0.00,111,-,1.16,113/1
2351,順德,1.74,112,39.52,3.88,113/1
2352,佳世達,3.09,112,26.22,2.09,113/1
2353,宏碁,3.22,112,26.55,2.02,113/1
2354,鴻準,2.21,112,22.08,0.91,113/1
2355,敬鵬,2.71,112,17.53,1.11,113/1
2356,英業達,2.83,112,29.94,3.18,113/1
2357,華碩,3.51,112,15.59,1.38,113/1
2359,所羅門,1.02,112,53.88,5.59,113/1
2360,致茂,2.29,112,30.59,6.00,113/1
2362,藍天,2.81,112,21.84,0.78,113/1
2363,矽統,0.53,112,72.44,2.25,113/1
2364,倫飛,3.50,112,22.46,5.49,113/1
2365,昆盈,0.89,112,84.63,2.46,113/1
2367,燿華,0.81,111,75.41,2.40,113/1
2368,金像電,1.82,112,21.65,5.61,113/1
2369,菱生,1.31,112,-,1.60,113/1
2371,大同,0.00,112,44.44,2.34,113/1
2373,震旦行,5.52,112,15.35,2.48,113/1
2374,佳能,1.46,112,35.87,2.68,113/1
2375,凱美,1.13,112,23.16,0.86,113/1
2376,技嘉,2.16,112,34.27,4.96,113/1
2377,微星,2.91,112,20.73,3.24,113/1
2379,瑞昱,2.92,112,25.92,5.71,113/1
2380,虹光,0.00,111,-,1.90,113/1
2382,廣達,3.30,112,23.25,6.23,113/1
2383,台光電,2.28,112,21.58,5.81,113/1
2385,群光,3.92,112,18.67,3.93,113/1
2387,精元,4.94,112,8.09,1.20,113/1
2388,威盛,0.08,112,104.87,4.27,113/1
2390,云辰,0.00,111,-,1.07,113/1
2392,正崴,2.84,112,13.20,1.35,113/1
2393,億光,4.43,112,18.28,1.65,113/1
2395,研華,2.64,112,31.34,7.21,113/1
2397,友通,3.87,112,30.79,3.07,113/1
2399,映泰,0.00,111,-,1.79,113/1
2401,凌陽,1.73,111,-,2.37,113/1
2402,毅嘉,3.41,112,20.35,1.71,113/1
2404,漢唐,5.97,112,13.73,6.89,113/1
2405,輔信,0.82,112,172.08,1.90,113/1
2406,國碩,0.00,111,-,2.05,113/1
2408,南亞科,0.00,112,-,1.20,113/1
2409,友達,4.99,112,-,0.92,113/1
2412,中華電,3.76,112,26.74,2.50,113/1
2413,環科,0.82,112,41.10,1.51,113/1
2414,精技,5.92,112,15.94,1.92,113/1
2415,錩新,2.41,111,128.57,1.50,113/1
2417,圓剛,0.32,112,132.00,2.12,113/1
2419,仲琦,0.96,112,-,2.04,113/1
2420,新巨,4.77,112,16.05,2.48,113/1
2421,建準,3.15,112,21.94,3.96,113/1
2423,固緯,5.21,112,14.11,2.42,113/1
2424,隴華,0.00,111,-,5.80,113/1
2425,承啟,1.11,112,24.46,1.74,113/1
2426,鼎元,1.10,112,-,1.45,113/1
2427,三商電,2.90,112,21.99,1.93,113/1
2428,興勤,3.09,112,16.09,2.17,113/1
2429,銘旺科,0.00,112,-,4.03,113/1
2430,燦坤,6.06,112,18.91,0.98,113/1
2431,聯昌,0.00,112,-,1.04,113/1
2432,倚天酷碁-創,4.26,112,19.35,1.90,113/1
2433,互盛電,5.62,112,15.99,2.25,113/1
2434,統懋,0.00,111,46.90,2.39,113/1
2436,偉詮電,1.86,112,44.11,3.17,113/1
2438,翔耀,0.00,111,-,4.15,113/1
2439,美律,3.87,112,16.44,2.17,113/1
2440,太空梭,0.00,111,-,1.77,113/1
2441,超豐,4.02,112,16.37,1.56,113/1
2442,新美齊,0.97,112,12.97,1.91,113/1
2444,兆勁,0.00,111,-,1.37,113/1
2449,京元電子,3.60,112,18.07,2.65,113/1
2450,神腦,5.02,112,16.00,1.70,113/1
2451,創見,4.10,112,20.44,2.90,113/1
2453,凌群,3.76,112,22.87,3.27,113/1
2454,聯發科,4.31,112,22.15,5.50,113/1
2455,全新,1.57,112,41.20,7.96,113/1
2457,飛宏,0.00,111,78.79,2.30,113/1
2458,義隆,3.25,112,17.84,5.10,113/1
2459,敦吉,5.52,112,12.52,1.49,113/1
2460,建通,0.00,111,-,2.64,113/1
2461,光群雷,2.55,112,64.75,1.51,113/1
2462,良得電,3.21,112,18.55,1.70,113/1
2464,盟立,0.81,112,68.33,2.88,113/1
2465,麗臺,0.00,111,-,11.37,113/1
2466,冠西電,0.51,111,-,3.34,113/1
2467,志聖,2.32,112,36.69,5.57,113/1
2468,華經,2.95,112,22.40,1.51,113/1
2471,資通,5.78,112,15.46,2.92,113/1
2472,立隆電,3.55,112,13.07,1.75,113/1
2474,可成,4.49,112,11.78,0.91,113/1
2476,鉅祥,2.68,112,22.51,2.56,113/1
2477,美隆電,2.28,112,34.76,0.86,113/1
2478,大毅,2.76,112,18.72,1.17,113/1
2480,敦陽科,5.23,112,17.37,4.84,113/1
2481,強茂,2.04,112,25.90,1.70,113/1
2482,連宇,2.48,112,20.15,2.28,113/1
2483,百容,1.18,112,52.81,1.09,113/1
2484,希華,4.76,112,23.68,1.23,113/1
2485,兆赫,0.00,111,-,1.13,113/1
2486,一詮,0.60,112,137.34,5.58,113/1
2488,漢平,5.91,112,10.19,1.47,113/1
2489,瑞軒,2.78,112,31.37,1.06,113/1
2491,吉祥全,0.00,111,54.82,1.49,113/1
2492,華新科,1.89,112,23.65,1.13,113/1
2493,揚博,5.32,112,15.96,4.14,113/1
2495,普安,2.49,112,26.02,1.77,113/1
2496,卓越,6.44,112,12.06,1.74,113/1
2497,怡利電,1.69,112,28.92,3.22,113/1
2498,宏達電,0.00,111,-,1.66,113/1
2501,國建,2.68,112,16.80,1.60,113/1
2504,國產,4.41,112,15.97,2.21,113/1
2505,國揚,1.36,112,40.76,1.11,113/1
2506,太設,2.33,112,-,0.71,113/1
2509,全坤建,0.00,112,-,1.38,113/1
2511,太子,2.78,112,38.09,0.82,113/1
2514,龍邦,0.00,111,6.50,0.78,113/1
2515,中工,3.05,112,41.59,1.16,113/1
2516,新建,0.00,111,16.39,1.67,113/1
2520,冠德,2.95,112,12.37,1.67,113/1
2524,京城,0.00,111,39.04,1.26,113/1
2527,宏璟,3.07,112,18.48,1.02,113/1
2528,皇普,0.98,112,-,3.81,113/1
2530,華建,1.12,112,56.82,3.98,113/1
2534,宏盛,3.59,112,60.54,0.89,113/1
2535,達欣工,5.42,112,12.45,1.69,113/1
2536,宏普,1.39,112,37.45,1.02,113/1
2537,聯上發,0.00,111,-,1.75,113/1
2538,基泰,4.37,112,-,1.39,113/1
2539,櫻花建,2.68,112,34.65,5.24,113/1
2540,愛山林,3.02,112,38.48,6.55,113/1
2542,興富發,3.10,112,44.45,1.92,113/1
2543,皇昌,3.63,112,20.27,3.77,113/1
2545,皇翔,3.67,112,14.46,1.70,113/1
2546,根基,4.24,112,12.67,2.67,113/1
2547,日勝生,2.16,112,-,0.97,113/1
2548,華固,4.93,112,20.56,2.56,113/1
2597,潤弘,5.08,112,16.56,5.21,113/1
2601,益航,0.00,111,-,0.78,113/1
2603,長榮,4.59,112,9.77,0.98,113/1
2605,新興,2.37,112,27.48,1.11,113/1
2606,裕民,3.92,112,16.01,1.37,113/1
2607,榮運,3.28,112,12.59,1.08,113/1
2608,嘉里大榮,5.71,112,12.47,1.67,113/1
2609,陽明,2.41,112,26.92,1.00,113/1
2610,華航,2.99,112,16.27,1.81,113/1
2611,志信,6.82,112,9.44,1.93,113/1
2612,中航,1.98,112,35.31,0.83,113/1
2613,中櫃,1.29,112,42.61,2.04,113/1
2614,東森,0.00,112,-,1.80,113/1
2615,萬海,1.56,112,282.94,1.24,113/1
2616,山隆,1.67,112,98.85,0.72,113/1
2617,台航,4.08,112,8.81,0.99,113/1
2618,長榮航,4.88,112,9.13,1.99,113/1
2630,亞航,1.31,112,91.82,2.51,113/1
2633,台灣高鐵,3.38,112,21.69,2.31,113/1
2634,漢翔,2.60,112,20.68,2.86,113/1
2636,台驊投控,5.78,112,10.40,1.77,113/1
2637,慧洋-KY,3.58,112,11.74,1.19,113/1
2642,宅配通,2.10,112,33.46,1.64,113/1
2645,長榮航太,4.11,112,20.09,3.47,113/1
2701,萬企,2.11,112,25.00,0.72,113/1
2702,華園,0.00,112,28.00,0.93,113/1
2704,國賓,1.42,112,13.76,0.69,113/1
2705,六福,0.00,112,-,0.81,113/1
2706,第一店,2.19,112,27.12,0.80,113/1
2707,晶華,5.02,112,19.51,7.96,113/1
2712,遠雄來,1.37,112,127.29,2.57,113/1
2722,夏都,0.84,112,83.80,3.55,113/1
2723,美食-KY,3.81,112,24.68,1.46,113/1
2727,王品,6.23,112,15.03,5.65,113/1
2731,雄獅,5.13,112,8.96,3.58,113/1
2739,寒舍,0.00,112,13.79,5.02,113/1
2748,雲品,2.81,112,21.94,2.71,113/1
2753,八方雲集,4.19,112,19.20,3.44,113/1
2762,世界健身-KY,5.86,112,31.75,2.85,113/1
2801,彰銀,4.74,112,14.92,1.03,113/1
2809,京城銀,4.92,112,9.17,1.29,113/1
2812,台中銀,5.16,112,13.10,1.23,113/1
2816,旺旺保,0.00,111,5.44,1.17,113/1
2820,華票,4.72,112,16.98,0.82,113/1
2832,台產,4.56,112,9.08,0.87,113/1
2834,臺企銀,7.80,112,14.30,1.15,113/1
2836,高雄銀,5.08,112,25.65,0.86,113/1
2838,聯邦銀,5.68,112,14.28,0.88,113/1
2845,遠東銀,6.43,112,14.02,1.06,113/1
2849,安泰銀,2.66,112,14.02,0.83,113/1
2850,新產,5.22,112,9.04,1.64,113/1
2851,中再保,4.96,112,9.01,1.09,113/1
2852,第一保,4.44,112,9.39,0.91,113/1
2855,統一證,4.75,112,9.75,1.19,113/1
2867,三商壽,0.00,111,-,0.86,113/1
2880,華南金,5.16,112,15.46,1.58,113/1
2881,富邦金,3.29,112,13.48,1.24,113/1
2882,國泰金,3.44,112,11.50,1.10,113/1
2883,開發金,3.25,112,12.03,0.98,113/1
2884,玉山金,4.84,112,20.68,1.85,113/1
2885,元大金,4.09,112,13.42,1.35,113/1
2886,兆豐金,4.57,112,16.67,1.57,113/1
2887,台新金,5.32,112,17.57,1.15,113/1
2888,新光金,0.00,111,32.43,0.59,113/1
2889,國票金,6.30,112,26.36,1.26,113/1
2890,永豐金,4.26,112,13.28,1.48,113/1
2891,中信金,4.84,112,11.70,1.59,113/1
2892,第一金,4.14,112,16.55,1.46,113/1
2897,王道銀行,4.19,112,11.94,0.78,113/1
2901,欣欣,1.32,112,60.78,2.25,113/1
2903,遠百,4.91,112,18.01,1.43,113/1
2904,匯僑,3.07,112,23.55,1.27,113/1
2905,三商,1.11,112,-,1.02,113/1
2906,高林,2.88,112,34.18,1.31,113/1
2908,特力,2.77,112,45.54,1.60,113/1
2910,統領,1.24,112,24.25,1.82,113/1
2911,麗嬰房,0.00,112,-,1.26,113/1
2912,統一超,3.29,112,26.48,6.76,113/1
2913,農林,0.00,111,-,1.33,113/1
2915,潤泰全,3.48,112,6.49,0.74,113/1
2923,鼎固-KY,0.68,112,61.67,1.02,113/1
2929,淘帝-KY,0.00,111,-,0.36,113/1
2939,凱羿-KY,0.00,112,-,1.29,113/1
2945,三商家購,2.66,112,25.31,1.62,113/1
3002,歐格,1.99,112,64.20,1.22,113/1
3003,健和興,1.85,112,22.68,2.04,113/1
3004,豐達科,2.38,112,16.40,2.40,113/1
3005,神基,4.44,112,16.87,3.38,113/1
3006,晶豪科,0.65,112,-,2.58,113/1
3008,大立光,2.85,112,15.23,1.88,113/1
3010,華立,4.11,112,14.06,1.59,113/1
3011,今皓,0.00,111,-,3.98,113/1
3013,晟銘電,0.44,112,59.61,5.29,113/1
3014,聯陽,4.66,112,16.85,4.07,113/1
3015,全漢,4.78,112,19.94,0.89,113/1
3016,嘉晶,0.78,112,108.14,3.84,113/1
3017,奇鋐,1.13,112,40.55,11.06,113/1
3018,隆銘綠能,0.00,112,-,10.75,113/1
3019,亞光,2.65,112,21.86,1.48,113/1
3021,鴻名,1.24,112,17.83,1.48,113/1
3022,威強電,4.10,112,10.22,1.42,113/1
3023,信邦,3.22,112,21.69,4.81,113/1
3024,憶聲,0.45,112,59.08,2.17,113/1
3025,星通,4.57,112,20.65,4.52,113/1
3026,禾伸堂,5.06,112,23.58,1.78,113/1
3027,盛達,0.91,112,37.50,2.09,113/1
3028,增你強,5.56,112,19.75,1.50,113/1
3029,零壹,5.00,112,17.35,3.28,113/1
3030,德律,1.96,112,33.47,5.18,113/1
3031,佰鴻,3.59,112,22.08,1.34,113/1
3032,偉訓,4.70,112,12.53,2.59,113/1
3033,威健,5.31,112,20.79,1.78,113/1
3034,聯詠,5.28,112,15.72,5.11,113/1
3035,智原,1.50,112,57.33,5.76,113/1
3036,文曄,1.57,112,27.32,1.56,113/1
3037,欣興,1.63,112,27.18,2.96,113/1
3038,全台,4.87,112,10.95,1.96,113/1
3040,遠見,2.87,112,32.83,1.47,113/1
3041,揚智,0.00,111,-,2.87,113/1
3042,晶技,3.95,112,17.98,2.78,113/1
3043,科風,0.00,111,-,1.92,113/1
3044,健鼎,3.50,112,16.68,2.41,113/1
3045,台灣大,4.02,112,25.85,3.68,113/1
3046,建碁,3.12,112,19.69,3.79,113/1
3047,訊舟,3.78,111,-,2.27,113/1
3048,益登,3.10,112,100.94,1.65,113/1
3049,精金,0.00,112,-,0.80,113/1
