代號,公司名稱,109季,110季,111季,112季
2337,旺宏,5326083,11962952,8969775,1699593
2101,南港,844378,243254,1023582,134011
2606,裕民,878425,4892584,4404312,2738915
6274,台燿,1775561,1881242,1261424,823435
9939,宏全,1655412,1964731,2215138,2474180
6414,樺漢,1111524,1334944,3452916,2260964
8996,高力,112524,149156,301020,576526
8112,至上,1595129,2881045,2206969,2162204
2504,國產,2472927,2848871,4132218,3530978
6412,群電,2136627,2827207,3246597,3294677
3706,神達,2918705,11960937,9294214,1783630
9914,美利達,3993317,4649502,3389063,1691823
2204,中華,3277320,4181835,7757796,5652246
3023,信邦,2113868,2331502,2880553,3283914
1319,東陽,819609,687538,2151321,3019410
3005,神基,2577039,4273793,2565168,3744542
5522,遠雄,3835390,6080658,5506108,3717627
6605,帝寶,590450,1135836,1800307,2368991
2501,國建,1483980,847539,1207749,2164437
8016,矽創,1384818,6005760,3610165,1858341
2329,華泰,266123,1530581,1448653,1881210
3010,華立,1859120,2843277,2484800,2113717
3045,台灣大,11286553,10988165,11025551,12274109
1301,台塑,20036199,71355311,36142868,7337709
8069,元太,3602589,5150045,9911750,7814326
2912,統一超,10238162,8861619,9281650,10613914
3017,奇鋐,1915846,2900627,4162261,5304713
3037,欣興,5461671,13222256,29618505,11980052
2609,陽明,11977013,165268628,180591942,4774106
1314,中石化,680989,3603208,233114,1060038
6257,矽格,1783299,2787446,3033285,1737319
8070,長華*,997299,1725500,2163818,1477214
3324,雙鴻,1111383,1132673,1263555,1231843
4763,材料-KY,504558,357500,1249816,5175744
3406,玉晶光,3055708,2296634,3273566,3072720
1314,中石化,680989,3603208,233114,1060038
6257,矽格,1783299,2787446,3033285,1737319
8070,長華*,997299,1725500,2163818,1477214
8926,台汽電,1068547,897884,906774,1252275
6214,精誠,1666345,1213916,1091229,1494266
2360,致茂,2323776,4179232,5105824,3979247
2376,技嘉,4374329,13337960,6538521,4742979
2356,英業達,7547985,6537765,6128786,6130732
3533,嘉澤,2732361,3472201,6254263,5593032
2618,長榮航,3361639,6608496,7091299,21594425
1402,遠東新,8062699,9684584,8160292,8229199
5347,世界,6305520,11819588,15280388,7370074
4966,譜瑞-KY,3505796,5244507,4898319,2033134
2379,瑞昱,8793477,16852759,16204052,9152772
2474,可成,21129820,8575044,10902179,9151193
5274,信驊,1004689,1312925,2105614,1006810
6515,穎崴,530965,486629,1100232,464038
8926,台汽電,1068547,897884,906774,1252275
6214,精誠,1666345,1213916,1091229,1494266
5534,長虹,2619719,1280214,2852343,1836036
6278,台表科6139,2193738,3713185,4041920,2507016
5434,崇越,2068350,2294458,3018478,2835024
6781,AES-KY,903332,2434939,3217839,1968225
6005,群益證,3569529,5249590,840040,4131510
