代號,公司名稱,2023 第一季,2023 第二季,2023 第三季,2023 第四季,2024 第一季
2392.0,正崴,-49656.0,4023451.0,6448794.0,8793890.0,2090012.0
2395.0,研華,3409478.0,6994023.0,10504990.0,14033564.0,3630209.0
2404.0,漢唐,1810258.0,45758.0,5559110.0,71456.0,1532998.0
2408.0,南亞科,-2885363.0,-6069894.0,-10409935.0,-14460191.0,-2918268.0
2409.0,友達,-4856745.0,2522136.0,3816201.0,5019739.0,1451751.0
2412.0,中華電,8407281.0,16535692.0,24886924.0,34443940.0,8567479.0
2441.0,超豐,54288.0,116869.0,182704.0,247563.0,66001.0
2449.0,京元電子,903025.0,1864099.0,9201.0,3778263.0,968717.0
2451.0,創見,299430.0,586678.0,866232.0,1154959.0,597229.0
2454.0,聯發科,31543480.0,63438992.0,97686868.0,135567532.0,37720666.0
2458.0,義隆,532492.0,240822.0,366557.0,2148773.0,616929.0
2474.0,可成,-15725.0,1731327.0,2542035.0,0.0,288128.0
2492.0,華新科,109937.0,484984.0,1093867.0,1795311.0,1031778.0
2498.0,宏達電,636462.0,2945328.0,4530930.0,-4294681.0,1452758.0
2501.0,國建,8289.0,25373.0,32308.0,48290.0,824697.0
2504.0,國產,3069.0,350544.0,521504.0,949365.0,232113.0
2530.0,華建,809.0,5977.0,6487.0,11330.0,86.0
2539.0,櫻花建,724700.0,891834.0,1852899.0,3830484.0,694231.0
2540.0,愛山林,2198.0,-693.0,18135.0,69941.0,-32600.0
2542.0,興富發,2775.0,79318.0,86907.0,178089.0,9984.0
2548.0,華固,1487858.0,41746.0,58956.0,84093.0,15367.0
2597.0,潤弘,236999.0,1533.0,758026.0,1008654.0,269955.0
2603.0,長榮,6298.0,-290.0,-29956.0,10342.0,19120.0
2606.0,裕民,468200.0,1394640.0,2204449.0,3382110.0,1052311.0
2607.0,榮運,502227.0,1084080.0,1847786.0,2606584.0,588757.0
2609.0,陽明,8933.0,120368.0,180331.0,203389.0,91419.0
2610.0,華航,31070.0,-492846.0,107521.0,-866936.0,378783.0
2615.0,萬海,43166.0,237552.0,4307186.0,-6302558.0,2229209.0
2618.0,長榮航,-74534.0,309970.0,577719.0,-53989.0,
2633.0,台灣高鐵,103331.0,200288.0,300252.0,419962.0,120370.0
