代號,名稱,發行量(股),股價,日期
5904,寶雅,103500,492.0,2024-06-28
5434,崇越,188700,275.0,2024-06-28
6781,AES-KY,85399,631.0,2024-06-28
6005,群益證,2171000,25.1,2024-06-28
2889,國票金,3447000,16.1,2024-06-28
3665,貿聯-KY,163400,374.0,2024-06-28
2637,慧洋-KY,746400,68.0,2024-06-28
1808,潤隆,451000,112.5,2024-06-28
2451,創見,429099,115.0,2024-06-28
4919,新唐,419799,128.0,2024-06-28
2548,華固,276800,136.5,2024-06-28
1210,大成,894800,57.2,2024-06-28
6147,頎邦,744700,67.1,2024-06-28
4915,致伸,462900,94.2,2024-06-28
6223,旺矽,94200,530.0,2024-06-28
2006,東和鋼鐵,730200,69.6,2024-06-28
2923,鼎固-KY,1740000,32.25,2024-06-28
3376,新日興,187700,245.0,2024-06-28
2634,漢翔,941900,53.4,2024-06-28
1907,永豐餘,1660000,30.75,2024-06-28
2458,義隆,303900,154.0,2024-06-28
2337,旺宏,1856000,26.05,2024-06-28
3374,精材,271400,180.0,2024-06-28
2606,裕民,845100,55.8,2024-06-28
6274,台燿,272000,162.5,2024-06-28
6414,樺漢,137000,335.5,2024-06-28
2903,遠百,1417000,34.0,2024-06-28
8996,高力,89800,482.0,2024-06-28
5508,永信建,217399,214.5,2024-06-28
8112,至上,520100,81.8,2024-06-28
1560,中砂,144100,328.0,2024-06-28
2363,矽統,749599,56.5,2024-06-28
4766,南寶,120600,342.0,2024-06-28
6643,M31,34800,1135.0,2024-06-28
5903,全家,223200,191.0,2024-06-28
2015,豐興,581600,77.1,2024-06-28
3189,景碩,454400,92.4,2024-06-28
3030,德律,236200,171.5,2024-06-28
6213,聯茂,363000,116.0,2024-06-28
3680,家登,94300,446.5,2024-06-28
2392,正崴,512299,79.0,2024-06-28
2530,華建,840000,48.3,2024-06-28
1609,大亞,736800,55.8,2024-06-28
9933,中鼎,809200,53.0,2024-06-28
2855,統一證,1456000,29.45,2024-06-28
1773,勝一,250000,150.0,2024-06-28
6605,帝寶,165799,238.5,2024-06-28
6548,長科*,950500,38.8,2024-06-28
2501,國建,1160000,30.2,2024-06-28
6670,復盛應用,134000,284.0,2024-06-28
1227,佳格,915100,42.75,2024-06-28
1314,中石化,3785000,10.35,2024-06-28
1434,福懋,1685000,22.5,2024-06-28
6257,矽格,464600,76.8,2024-06-28
3131,弘塑,29200,1355.0,2024-06-28
3042,晶技,309800,115.0,2024-06-28
8210,勤誠,120600,301.0,2024-06-28
8415,大國鋼,1032000,34.3,2024-06-28
3264,欣銓,490200,68.5,2024-06-28
6491,晶碩,78000,479.0,2024-06-28
3596,智易,220400,162.0,2024-06-28
1514,亞力,261900,149.0,2024-06-28
2362,藍天,632300,53.5,2024-06-28
2597,潤弘,185000,182.5,2024-06-28
4123,晟德,716300,54.4,2024-06-28
2441,超豐,568800,62.9,2024-06-28
8070,長華*,689400,45.35,2024-06-28
