代號,公司名稱,109股利發放率,110股利發放率,111股利發放率
6278,台表科,31.6,76.4,62.5
2607,榮運,18.0,15.3,44.0
8016,矽創,90.2,222.0,121.5
2329,華泰,0.0,81.7,68.9
3010,華立,61.1,132.2,131.9
8478,東哥遊艇,3.9,10.5,17.2
3260,威剛,18.5,10.7,8.1
6191,精成科,5.5,12.6,20.1
6670,復盛應用,31.7,45.3,46.6
1227,佳格,68.6,26.6,16.5
1314,中石化,0.0,15.6,0.0
1434,福懋,26.7,13.9,16.2
3702,大聯大,159.9,119.7,140.1
6239,力成,43.9,30.2,32.3
4958,臻鼎-KY,20.2,55.2,52.1
2059,川湖,58.0,79.0,90.5
3044,健鼎,727.6,756.1,355.9
6781,AES-KY,42.4,142.7,179.0
6005,群益證,159.0,307.1,102.9
2501,國建,44.3,54.3,20.3
3293,鈊象,134.9,94.9,122.0
5269,祥碩,80.3,78.4,46.0
2441,超豐,195.2,116.8,65.4
8070,長華*,24.3,26.3,198.4
6515,穎崴,,,
8926,台汽電,,,
6214,精誠,,,
1326,台化,,,
3406,玉晶光,,,
4123,晟德,,,
5534,長虹,,,
1314,中石化,,,
2881,富邦金,,,
2882,國泰金,,,
2885,元大金,,,
1301,台塑,,,
2880,華南金,,,
2379,瑞昱,,,
2883,開發金,,,
1519,華城,,,
2887,台新金,,,
2812,台中銀,,,
2540,愛山林,,,
3406,玉晶光,,,
2809,京城銀,,,
2845,遠東銀,,,
4123,晟德,,,
2889,國票金,,,
2308,台達電,,,
3661,世芯-KY,,,
2882,國泰金,,,
2891,中信金,,,
2886,"兆豐金""",,,
2884,玉山金,,,
5880,合庫金,,,
2892,第一金,,,
6223,旺矽,,,
3374,精材,,,
2855,統一證,,,
6257,矽格,,,
2327,國巨,,,
2890,永豐金,,,
2327,國巨,,,
2884,玉山金,,,
2886,兆豐金,,,
1301,台塑,,,
2633,台灣高鐵,,,
2105,正新,,,
2888,新光金,,,
