"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"39",="0056","元大高股息","市","06/14","40.55","+0.13","+0.32","","","725","2,940","16.5","16.5","有","","有","","","","N/A","劉宗聖","陳沛宇"
"40",="2379","瑞昱","市","06/14","569","-4","-0.7","10","51.3","51.29","2,918","36.7","25.6","有","","有","","","","半導體業","邱順建","顏光裕"
"41",="00878","國泰永續高股息","市","06/14","23.33","+0.02","+0.09","","","1,241","2,895","3.9","3.9","有","","有","","","","N/A","張錫","張雍川"
"42",="8069","元太","櫃","06/14","250","+3.5","+1.42","10","114","114.4","2,861","32","20.2","有","","有","","有","","光電業","李政昊","甘豐源"
"43",="2912","統一超","市","06/14","272.5","+2.5","+0.93","10","104","104","2,833","37","26.8","","","","","","","貿易百貨業","羅智先","黃瑞典"
"44",="3017","奇鋐","市","06/14","739","+27","+3.79","10","38.3","38.33","2,833","32.5","21.7","有","","有","有","","","電腦及週邊設備業","沈慶行","沈慶行"
"45",="3037","欣興","市","06/14","182.5","-1.5","-0.82","10","153","152.5","2,783","34.4","25.5","有","有","有","","","","電子零組件業","曾子章","馬光華、蘭庭"
"46",="2609","陽明","市","06/14","75.4","+3","+4.14","10","349","349.2","2,633","51.5","32.2","有","","有","有","","","航運業","鄭貞茂","杜書勤"
"47",="2615","萬海","市","06/14","92.8","+8.4","+9.95","10","281","280.6","2,604","59.3","28.1","有","","有","有","","","航運業","久福花園股份有限公司","謝福隆"
"48",="1101","台泥","市","06/14","34","+0.55","+1.64","10","775","755.1","2,567","73.5","62.3","有","有","有","有","","有","水泥工業","張安平","程耀輝"
"49",="2883","開發金","市","06/14","15.25","+0.05","+0.33","10","1,841","1,683","2,567","22.5","22.5","有","","有","有","","有","金控業","王銘陽","楊文鈞"
"50",="6488","環球晶","櫃","06/14","534","-9","-1.66","10","47.8","47.81","2,553","12.7","8.72","有","","有","有","","","半導體業","徐秀蘭","Mark England"
"51",="5871","中租-KY","市","06/14","156.5","+1.5","+0.97","10","176","161.5","2,527","14.5","12.5","有","","","有","","有","其他業","陳鳳龍","陳鳳龍"
"52",="2301","光寶科","市","06/14","107.5","+0.5","+0.47","10","235","234.8","2,524","35.2","28.6","有","","有","","","","電腦及週邊設備業","宋明峰","邱森彬"
"53",="1519","華城","市","06/14","920","+83","+9.92","10","26.1","26.11","2,402","54.8","27.2","","","有","","","","電機機械","許邦福","許逸德/許逸晟(執行長)"
"54",="2887","台新金","市","06/14","18.75","+0.15","+0.81","10","1,358","1,248","2,339","22.3","22.3","有","有","有","有","","有","金控業","吳東亮","林維俊"
"55",="00929","復華台灣科技優息","市","06/14","21","+0.06","+0.29","","","1,078","2,263","1","1.02","有","","有","","","","N/A","杜俊雄","張偉智"
"56","00679B","元大美債20年","櫃","06/14","29.93","+0.36","+1.22","","","752.2","2,251","7.4","7.41","有","","有","","","","N/A","劉宗聖","陳沛宇"
"57",="00919","群益台灣精選高息","市","06/14","26.27","+0.04","+0.15","","","843.1","2,215","1.7","1.65","有","","有","","","","N/A","賴政昇","陳明輝"
"58",="5876","上海商銀","市","06/14","45.35","-0.2","-0.44","10","486","486.2","2,205","69.8","5.66","","","有","有","","","銀行業","李慶言","郭進一"
"59",="3661","世芯-KY","市","06/14","2660","-10","-0.37","10","7.92","7.92","2,106","21.3","9.63","","","有","","有","","半導體業","關建英","沈翔霖"
"60",="1590","亞德客-KY","市","06/14","1050","+25","+2.44","10","20","20","2,100","14.7","13.5","有","","有","","","","電機機械","王世忠","王世忠"
"61",="3443","創意","市","06/14","1565","+15","+0.97","10","13.4","13.4","2,097","26.4","17.6","有","","有","","","","半導體業","曾繁城","戴尚義"
"62",="2408","南亞科","市","06/14","66.2","+0.2","+0.3","10","310","309.9","2,051","29.3","23.8","有","","有","","","","半導體業","吳嘉昭","李培瑛"
"63",="6415","矽力*-KY","市","06/14","526","+25","+4.99","2.5","9.62","38.5","2,025","16.4","10.5","","","有","","","","半導體業","陳偉","游步東及謝兵"
"64",="3529","力旺","櫃","06/14","2705","+15","+0.56","10","7.47","7.47","2,019","23.8","13.4","有","","有","","","","半導體業","徐清祥","何明洲"
"65",="2376","技嘉","市","06/14","315","-1","-0.32","10","63.6","63.57","2,002","38.1","25.7","有","","有","有","","","電腦及週邊設備業","葉培城","李宜泰/林英宇"
"66",="2356","英業達","市","06/14","55.4","-0.3","-0.54","10","359","358.8","1,987","49","27.6","有","","有","","","","電腦及週邊設備業","葉力誠","蔡枝安"
"67",="2801","彰銀","市","06/14","18.15","+0.05","+0.28","10","1,086","1,086","1,971","74","62.3","有","有","有","","","","銀行業","凌忠嫄","周朝崇"
"68",="3533","嘉澤","市","06/14","1750","+150","+9.38","10","11.1","11.19","1,958","37.8","16.5","有","","有","","","","電子零組件業","朱德祥","何德佑"
