"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"172",="6592","和潤企業","市","06/14","111","0","0","10","66.7","56.65","629","25.1","4.52","","","","有","","有","其他業","劉源森","林彥良"
"173",="2539","櫻花建","市","06/14","72.9","+0.8","+1.11","10","85.7","85.71","625","37.1","26.9","","","","","","","建材營造業","陳世英","沈淑貞"
"174",="2211","長榮鋼","市","06/14","147","0","0","10","41.7","41.71","613","51.4","3.18","","","有","","","","鋼鐵工業","林耿立","劉邦恩"
"175",="2206","三陽工業","市","06/14","76.6","-0.3","-0.39","10","79.7","79.75","611","62.8","27.9","","","有","","","","汽車工業","吳清源","吳清源"
"176",="6890","來億-KY","市","06/14","240","+24","+11.1","10","24.9","24.94","599","3","0.01","","","","","","","運動休閒","鐘德禮","林昌永"
"177",="2838","聯邦銀","市","06/14","15.75","0","0","10","398","377.9","595","32.5","26","","","","","","有","銀行業","林鴻聯","許維文"
"178",="00939","統一台灣高息動能","市","06/14","14.73","+0.05","+0.34","","","399.4","588","0.3","0.24","","","","","","","N/A","鄧潤澤","董永寬"
"179","00777B","凱基AAA至A公司債","櫃","06/14","35.87","+0.27","+0.76","","","162.7","583","5.4","5.33","","","","","","","N/A","丁紹曾","張慈恩"
"180",="6531","愛普*","市","06/14","358","+6.5","+1.85","5","8.11","16.22","581","12.9","8.04","","","有","","","","半導體業","陳文良","洪志勳"
"181",="2388","威盛","市","06/14","115","+6.5","+5.99","10","50","50","575","31.7","25.3","有","","有","","","","半導體業","陳文琦","陳文琦"
"182",="2492","華新科","市","06/14","118","+5.5","+4.89","10","48.6","48.58","573","53.9","26.6","有","","有","有","","","電子零組件業","焦佑衡","曾明燦"
"183",="9917","中保科","市","06/14","126.5","0","0","10","45.1","45.12","571","46.6","30.5","","","","","","","其他業","林建涵","林建涵"
"184",="2504","國產","市","06/14","48","0","0","10","118","118","566","69.5","46.3","","","有","","","","建材營造業","徐蘭英","吳志仁"
"185","00722B","群益投資級電信債","櫃","06/14","39.41","+0.27","+0.69","","","141.8","559","6.5","6.5","","","","","","","N/A","賴政昇","陳明輝"
"186",="6412","群電","市","06/14","140","0","0","10","39.9","39.9","559","15.5","10.6","","","有","","","","電子零組件業","呂進宗","曾國華"
"187",="3706","神達","市","06/14","45.95","+0.5","+1.1","10","121","120.7","554","10.8","10.8","有","","有","","","","電腦及週邊設備業","苗豐強","何繼武"
"188",="1802","台玻","市","06/14","19","+0.7","+3.83","10","291","290.8","553","59.8","50.9","有","","有","","","","玻璃陶瓷","林伯豐","林伯實"
"189",="6805","富世達","市","06/14","799","-4","-0.5","10","6.86","6.86","548","23","0.6","","","","","","","電子零組件業","黃祖模","沈旻勳"
"190","00723B","群益投資級科技債","櫃","06/14","34.55","+0.3","+0.88","","","158.1","546","6.5","6.5","","","","","","","N/A","賴政昇","陳明輝"
"191","00792B","群益A級公司債","櫃","06/14","34.57","+0.22","+0.64","","","157.9","546","5.2","5.2","","","","","","","N/A","賴政昇","陳明輝"
"192",="6139","亞翔","市","06/14","232","+11.5","+5.22","10","23.3","23.3","540","45.5","22.4","","","有","有","","","其他電子業","姚祖驤","蔣曉麟"
"193",="5904","寶雅","櫃","06/14","520","-3","-0.57","10","10.3","10.35","538","27.3","21.8","有","","有","","","","居家生活","陳建造","陳宗成"
"194","00933B","國泰10Y+金融債","櫃","06/14","17.01","+0.1","+0.59","","","315.8","537","0.7","0.66","","","有","","","","N/A","張錫","張雍川"
"195",="5434","崇越","市","06/14","284.5","-1.5","-0.52","10","18.9","18.87","537","34.3","24.1","","","有","","","","電子通路業","潘重良","曾海華及李正榮"
"196",="6781","AES-KY","市","06/14","627","-4","-0.63","10","8.54","8.54","536","4.4","3.23","","","有","","","","電子零組件業","宋福祥","宋維哲"
"197",="6005","群益證","市","06/14","24.5","-0.15","-0.61","10","217","217.1","532","36","28.8","","","","","","","證券業","周秀真","李文柱"
"198",="2889","國票金","市","06/14","15.35","-0.2","-1.29","10","345","344.7","529","22.2","22.2","","","有","","","","金控業","魏啟林","陳冠舟"
"199",="3665","貿聯-KY","市","06/14","323.5","+19.5","+6.41","10","16.3","16.34","529","24","13.2","","","有","有","","","其他電子業","梁華哲","鄧劍華"
"200",="2637","慧洋-KY","市","06/14","70.7","+1.8","+2.61","10","74.6","74.64","528","15.6","13.5","","","有","有","","","航運業","藍俊昇","藍俊昇"
"201",="1808","潤隆","市","06/14","117","+6","+5.41","10","45.1","45.1","528","47.4","29.6","","","有","有","","","建材營造業","邱秉澤","林暐鈞"
"202","00778B","凱基金融債20+","櫃","06/14","37.3","+0.27","+0.73","","","140.8","525","5.4","5.33","","","","","","","N/A","丁紹曾","張慈恩"
"203",="6550","北極星藥業-KY","市","06/14","70.5","-0.9","-1.26","10","74.5","74.44","525","18.3","2.03","","","","有","有","","生技醫療業","陳鴻文","徐展平"
"204","00740B","富邦全球投等債","櫃","06/14","41.16","+0.19","+0.46","","","126.8","522","6","6.02","","","","","","","N/A","史綱","林欣怡"
"205",="2451","創見","市","06/14","121.5","-0.5","-0.41","10","42.9","42.91","521","34.8","23.1","","","","","","","半導體業","束崇萬","束崇萬"
"206",="4919","新唐","市","06/14","124","-0.5","-0.4","10","42","41.98","521","16.2","13.7","有","","有","","","","半導體業","蘇源茂","楊欣龍"
"207",="2548","華固","市","06/14","185.5","+10","+5.7","10","27.7","27.68","513","35.2","23.9","有","","有","有","","","建材營造業","鍾榮昌","洪嘉昇"
"208","2882A","國泰特","市","06/14","61.3","+0.2","+0.33","","","83.33","511","","7.41","","","","","","","金控業","",""
"209",="1210","大成","市","06/14","57","+0.1","+0.18","10","89.5","89.48","510","63.5","46.1","有","","有","","","","食品工業","韓家宇","韓芳豪"
"210",="6147","頎邦","櫃","06/14","68.4","+0.1","+0.15","10","74.5","74.47","509","27","22.4","有","","有","","","","半導體業","吳非艱","施政宏"
"211",="4915","致伸","市","06/14","110","-0.5","-0.45","10","46.3","46.29","509","18.2","11.7","","","有","","","","電子零組件業","潘永中","潘永中"
"212",="6223","旺矽","櫃","06/14","537","-23","-4.11","10","9.42","9.42","506","28.9","21.4","","","有","","","","半導體業","葛長林","郭遠明"
"213",="2006","東和鋼鐵","市","06/14","68.7","-0.8","-1.15","10","73","73.02","502","62","35.9","有","","","有","","","鋼鐵工業","侯傑騰","黃炳樺"
"214",="2923","鼎固-KY","市","06/14","28.8","+0.2","+0.7","10","174","174","501","16.5","11.5","","","","","","","建材營造業","張洪本","張能耀"
"215",="3376","新日興","市","06/14","266","-3.5","-1.3","10","18.8","18.77","499","56","18.5","有","","有","","","","電子零組件業","呂勝男","阮朝宗"
"216",="2634","漢翔","市","06/14","52.9","-0.2","-0.38","10","94.2","94.19","498","28","9.81","有","","有","有","","","航運業","胡開宏","馬萬鈞"
"217",="1907","永豐餘","市","06/14","29.85","+0.1","+0.34","10","166","166","496","74.3","47.3","有","","有","","","","造紙工業","劉慧瑾","駱秉正"
"218",="2458","義隆","市","06/14","161.5","+0.5","+0.31","10","30.4","30.39","491","30.1","22.7","有","","有","","","","半導體業","葉儀皓","葉儀皓"
"219",="2337","旺宏","市","06/14","26","-0.25","-0.95","10","186","185.6","483","34.5","29.3","有","","有","","有","","半導體業","吳敏求","盧志遠"
"220",="00881","國泰台灣5G+","市","06/14","24.43","+0.23","+0.95","","","197.3","482","3.5","3.51","","","","","","","N/A","張錫","張雍川"
"221",="2101","南港","市","06/14","57.4","+0.3","+0.53","10","83.4","83.39","479","65.3","60.6","","","","有","","","橡膠工業","郭林諒","林君穎"
"222",="3374","精材","櫃","06/14","175.5","+2.5","+1.45","10","27.1","27.14","476","25.8","9.21","有","","有","","","","半導體業","陳家湘","陳家湘"
"223",="2606","裕民","市","06/14","56.3","+1.1","+1.99","10","84.5","84.51","476","55.8","33.5","有","","有","有","","","航運業","徐旭東","王書吉"
"224","00795B","中信美國公債20年","櫃","06/14","30.48","+0.39","+1.3","","","155.8","475","5.2","5.18","","","","","","","N/A","陳金榮","陳正華"
"225",="6274","台燿","櫃","06/14","173","-1.5","-0.86","10","27.2","27.2","471","50.1","20.5","有","","有","有","","","電子零組件業","辛忠衡","劉又如"
"226",="9939","宏全","市","06/14","162","-2","-1.22","10","28.8","28.78","466","54.9","23.3","有","","有","有","","","其他業","鄭雅文","曹宏宇"
"227",="6414","樺漢","市","06/14","335","+3","+0.9","10","13.7","13.7","459","24.9","10.2","有","","有","","有","","電腦及週邊設備業","朱復銓","蔡能吉"
"228",="2903","遠百","市","06/14","32.05","+0.2","+0.63","10","142","141.7","454","56.8","45.7","","","","","","","貿易百貨業","徐旭東","徐雪芳"
"229",="8996","高力","市","06/14","505","+18","+3.7","10","8.98","8.98","453","53.7","18","","","有","","","","電機機械","吳誌雄","王心五"
"230",="5508","永信建","櫃","06/14","208","-3","-1.42","10","21.7","21.74","452","37.2","26.1","","","有","有","","","建材營造業","陳俊銘","陳俊銘"
"231",="8112","至上","市","06/14","84.7","-0.1","-0.12","10","55","52.01","441","37.3","20.3","有","","有","有","","有","電子通路業","葛均","葛均"
"232",="1560","中砂","市","06/14","305.5","+6.5","+2.17","10","14.5","14.41","440","59.9","19.4","","","有","","","","電機機械","林伯全","謝榮哲"
"233","00756B","群益投等新興公債","櫃","06/14","33.27","+0.12","+0.36","","","131.8","439","5.7","5.65","","","","","","","N/A","賴政昇","陳明輝"
"234",="2363","矽統","市","06/14","57.6","-1.2","-2.04","10","75","74.96","432","36.8","26.9","","","有","","","","半導體業","洪嘉聰","戎樂天"
"235",="4766","南寶","市","06/14","356.5","-1.5","-0.42","10","12.1","12.06","430","60.7","5.55","","","有","","","","化學工業","吳政賢","許明現"
"236",="6643","M31","櫃","06/14","1225","+90","+7.93","10","3.48","3.48","427","12.7","5.39","","","有","","","","半導體業","陳慧玲","張原熏"
"237",="5903","全家","櫃","06/14","191","-0.5","-0.26","10","22.3","22.32","426","35.8","22.3","","","","","","","居家生活","葉榮廷","薛東都"
"238",="00882","中信中國高股息","市","06/14","11.83","+0.14","+1.2","","","360.1","426","3.4","3.36","","","有","","","","N/A","陳金榮","陳正華"
"239",="2015","豐興","市","06/14","72.9","+0.4","+0.55","10","58.2","58.16","424","55.4","32.1","","","","","","","鋼鐵工業","林大鈞","林永源"
"240",="2645","長榮航太","市","06/14","113","+2","+1.8","10","37.5","37.46","423","26.6","1.26","","","有","","","","航運業","黃南宏","李緯章"
"241",="3189","景碩","市","06/14","92.6","+1.9","+2.09","10","45.4","45.44","421","23.8","19.6","有","","有","","","","半導體業","廖賜政","陳河旭"
"242",="3030","德律","市","06/14","177","-0.5","-0.28","10","23.6","23.62","418","35.2","23.2","","","有","","","","其他電子業","陳玠源","陳玠源"
"243",="6213","聯茂","市","06/14","114","-1.5","-1.3","10","36.3","36.3","414","27.2","21.5","有","","有","有","","","電子零組件業","陳進財","蔡馨(日彗)"
"244","2882B","國泰金乙特","市","06/14","59.1","0","0","","","70","414","","5.85","","","","","","","金控業","",""
"245",="3680","家登","櫃","06/14","434","-6","-1.36","10","9.43","9.43","409","26.2","12.8","","","有","有","","","半導體業","邱銘乾","林添瑞"
"246",="2392","正崴","市","06/14","79.7","+3.8","+5.01","10","51.2","51.23","408","37.9","24.7","有","","有","有","","","電子零組件業","郭台強","郭台強"
"247",="2530","華建","市","06/14","48.5","+2.6","+5.66","10","84","84","407","63.5","28.7","","","","","有","","建材營造業","鄭斯聰","黃智楨"
"248",="2227","裕日車","市","06/14","135.5","0","0","10","30","30","406","20.6","19.5","","","","","","","汽車工業","嚴陳莉蓮","鐘文川"
"249","00726B","國泰5Y+新興債","櫃","06/14","34.59","+0.17","+0.49","","","117.4","406","6.4","6.35","","","","","","","N/A","張錫","張雍川"
"250",="1609","大亞","市","06/14","54.9","+3.2","+6.19","10","73.7","73.68","405","61.6","35.5","有","","有","有","","","電器電纜","沈尚弘","沈尚宜"
"251",="9933","中鼎","市","06/14","49.5","+0.45","+0.92","10","80.9","80.92","401","45.2","31","","","","有","","","其他業","楊宗興","李銘賢"
"252",="2855","統一證","市","06/14","27.3","-0.35","-1.27","10","146","145.6","397","35.5","25.3","","","","","","","證券業","林寬成","蔡森部"
"253","2881B","富邦金乙特","市","06/14","59.6","0","0","","","66.67","397","","6.15","","","","","","","金控業","",""
"254","00754B","群益AAA-AA公司債","櫃","06/14","37","+0.33","+0.9","","","107.3","397","5.7","5.65","","","","","","","N/A","賴政昇","陳明輝"
"255",="1773","勝一","市","06/14","158","-4","-2.47","10","25","25","395","45.4","15.3","","","有","","","","化學工業","孫靜源","孫靜源"
"256",="6605","帝寶","市","06/14","237","+1.5","+0.64","10","16.6","16.58","393","44.1","20.2","","","有","有","","","汽車工業","謝綉氣","許 (余又) 銘"
"257",="6548","長科*","櫃","06/14","41.15","-0.6","-1.44","0.4","3.8","95.05","391","14.5","7.75","","","有","","","","半導體業","洪全成","洪全成"
"258","00764B","群益25年美債","櫃","06/14","31.55","+0.4","+1.28","","","124","391","5.5","5.48","","","","","","","N/A","賴政昇","陳明輝"
"259",="2501","國建","市","06/14","33.65","+0.55","+1.66","10","116","116","390","59.5","56.6","","","","","","","建材營造業","張清櫆","李虹明"
"260",="6670","復盛應用","市","06/14","290.5","-6.5","-2.19","10","13.3","13.4","389","13.8","5.49","","","","","","","運動休閒","李亮箴","江慶生"
"261",="1227","佳格","市","06/14","42.2","+0.7","+1.69","10","91.5","91.51","386","38","30.2","","","","","","","食品工業","曹德風","曹博睿"
"262",="2867","三商壽","市","06/14","7.52","0","0","10","510","510","383","31","11.5","","","有","有","","","保險業","翁肇喜","陳宏昇"
"263",="1314","中石化","市","06/14","10.1","+0.05","+0.5","10","378","378.5","382","54.9","32.9","有","","有","","","","塑膠工業","陳瑞隆","陳穎俊(代理)"
"264",="1434","福懋","市","06/14","22.5","+0.05","+0.22","10","168","168.5","379","51.2","38.5","","","","","","","紡織纖維","王文淵","李敏章"
"265",="6257","矽格","市","06/14","81.3","-0.1","-0.12","10","45.9","46.46","378","35.5","20.8","有","","有","有","","","半導體業","黃興陽","葉燦鍊"
"266","2881A","富邦特","市","06/14","62.9","0","0","","","60","377","","8.04","","","","","","","金控業","",""
"267",="2498","宏達電","市","06/14","45.2","0","0","10","83.2","83.23","376","27.1","22.2","有","有","有","","","","通信網路業","王雪紅","王雪紅"
"268",="3131","弘塑","櫃","06/14","1280","0","0","10","2.92","2.92","374","31.1","13.4","","","有","","","","其他電子業","張鴻泰","黃富源"
"269",="6691","洋基工程","市","06/14","423","-4.5","-1.05","10","8.83","8.83","373","43.9","2.45","","","有","","","","其他電子業","劉士源","劉士源"
"270",="3042","晶技","市","06/14","118.5","-0.5","-0.42","10","31","30.98","367","40.5","23.2","有","","有","有","","","電子零組件業","林萬興","郭雅屏"
"271",="8210","勤誠","市","06/14","304","+2.5","+0.83","10","12.1","12.06","367","40.5","19.1","","","有","有","","","電腦及週邊設備業","陳美琪","執行長: 陳亞男 / 總經理: 許健南"
"272",="8415","大國鋼","櫃","06/14","35.5","-0.05","-0.14","10","103","103.2","366","16.9","7.77","","","","","","","鋼鐵工業","謝麗雲","謝榮坤"
"273",="3264","欣銓","櫃","06/14","74.7","-0.8","-1.06","10","49","49.02","366","24.7","19.4","有","","有","有","","","半導體業","盧志遠","張季明"
"274",="6491","晶碩","市","06/14","466","-9","-1.89","10","7.8","7.8","363","14.8","4.69","","","有","","","","生技醫療業","郭明棟","楊德勝"
"275",="3362","先進光","櫃","06/14","255","+23","+9.91","10","14.2","14.25","363","37.6","18.8","","","有","","有","","光電業","高維亞","高維亞"
"276",="5371","中光電","櫃","06/14","92.3","-0.3","-0.32","10","39.1","39.1","361","32","25.4","有","","有","","","","光電業","張威儀","林惠姿 吳秀蕙"
"277",="1717","長興","市","06/14","30.6","0","0","10","118","117.8","361","59.5","30.2","有","","","有","","","化學工業","高國倫","毛惠寬"
"278","00696B","富邦美債20年","櫃","06/14","32.24","+0.39","+1.22","","","111.8","361","7","7.02","","","","","","","N/A","史綱","林欣怡"
"279",="3596","智易","市","06/14","162.5","+0.5","+0.31","10","22","22.04","358","21.1","15.3","","","有","有","","","通信網路業","陳瑞聰","曾釗鵬"
"280",="1514","亞力","市","06/14","136","+12","+9.68","10","25.3","26.19","356","55.7","30.2","","","有","有","","","電機機械","慧德實業有限公司代表人宋和業","鄭朝彬"
"281",="2362","藍天","市","06/14","56.1","+0.6","+1.08","10","63.2","63.23","355","40.7","27.2","","","有","有","","","電腦及週邊設備業","許崑泰","蔡明賢"
"282",="2597","潤弘","市","06/14","191.5","+8","+4.36","10","18.5","18.5","354","48.6","14.2","","","","","","","建材營造業","李志宏","莫惟瀚"
"283",="4123","晟德","櫃","06/14","49.4","+2.3","+4.88","10","69.1","71.63","354","64.6","20.7","有","","有","","有","","生技醫療業","王素琦","許瑞寶"
"284",="2441","超豐","市","06/14","62.2","-0.5","-0.8","10","56.9","56.88","354","41.3","23.6","有","","","","","","半導體業","謝永達","紀有章"
"285",="8070","長華*","市","06/14","51.1","-0.4","-0.78","1","6.89","68.94","352","35.1","20.6","","","","有","","","電子通路業","洪全成","黃嘉能"
"286",="6515","穎崴","市","06/14","1010","+17","+1.71","10","3.48","3.48","351","23.2","3.4","","","有","","","","半導體業","王嘉煌","王嘉煌"
"287",="8926","台汽電","市","06/14","47.8","+1.2","+2.58","10","73","73.03","349","32.1","24.1","","","有","","","","油電燃氣業","黃順義","陳意通"
"288",="6214","精誠","市","06/14","128","0","0","10","27.2","27.23","349","27.4","21.4","","","有","有","","","資訊服務業","林隆奮","林隆奮"
"289",="5534","長虹","市","06/14","119.5","+3","+2.58","10","29","29.03","347","48.5","22.2","有","","","有","","","建材營造業","李文造","李耀中"
"290",="6278","台表科","市","06/14","117.5","-0.5","-0.42","10","29.2","29.24","344","34.2","20.3","有","","有","","","","光電業","伍開雲","伍允中"
"291",="2607","榮運","市","06/14","32.1","+0.1","+0.31","10","107","106.7","343","50.7","33.5","","","有","","","","航運業","邱顯育","林振芳"
"292",="6901","鑽石投資","市","06/14","40.1","+0.25","+0.63","10","85","85.04","341","11.4","0.74","","","有","","","","其他業","路孔明","吳友梅"
"293",="8016","矽創","市","06/14","283","+3.5","+1.25","10","12","12.01","340","31.9","20.5","","","有","","","","半導體業","毛穎文","劉孟煌"
"294",="2329","華泰","市","06/14","60.6","+1.8","+3.06","10","74","56.03","340","53","30.2","","","有","","","有","半導體業","董悦明","涂家榮"
"295",="3010","華立","市","06/14","134.5","+1","+0.75","10","23.6","25.08","337","55.7","23.7","","","有","有","","","電子通路業","張尊賢","張尊賢"
"296",="8478","東哥遊艇","市","06/14","378.5","+6.5","+1.75","10","8.89","8.89","336","46.4","6.51","","","有","","","","運動休閒","闕慶承","曾雄威"
"297",="3260","威剛","櫃","06/14","113.5","0","0","10","29.6","29.59","336","23.1","19.7","有","","有","有","","","半導體業","陳立白","陳玲娟"
"298",="3714","富采","市","06/14","44.55","+1","+2.3","10","75.3","75.29","335","3.4","3.44","有","有","","","有","","光電業","彭双浪","彭双浪"
"299","00785B","富邦金融投等債","櫃","06/14","36.56","+0.3","+0.83","","","91.4","334","5.2","5.22","","","","","","","N/A","史綱","林欣怡"
"300",="6191","精成科","市","06/14","70.4","-1.1","-1.54","10","47.4","47.43","334","51.3","33.3","","","有","","","","電子零組件業","焦佑衡","陶正國/楊建輝"
