代號,名稱,現金殖利率
2637,慧洋-KY,0.23637250313669486
1808,潤隆,0.14308911881412262
2027,大成鋼,0.08984155482000557
9933,中鼎,0.07517283086974942
6005,群益證,0.0704862523843857
2548,華固,0.06667417237488918
2204,中華,0.06027329484760544
2006,東和鋼鐵,0.05862926857943733
1722,台肥,0.05682141101271504
2618,長榮航,0.05679724455100405
