"id","季度","營業利益損失","母公司業主淨利損","公司名稱"
206,"2024 第一季","711,881","18,663","帝寶"
207,"2023 第一季","1,292,294","943,590","和潤企業"
209,"2023 第三季","3,926,438","3,018,700","和潤企業"
210,"2023 第四季","5,225,934","3,811,711","和潤企業"
211,"2024 第一季","1,224,813","1,002,373","和潤企業"
212,"2023 第一季","73,419","0","北極星藥業-KY"
213,"2023 第二季","165,816","-960","北極星藥業-KY"
214,"2023 第三季","221,128","-8,952","北極星藥業-KY"
216,"2024 第一季","476,047","-11,933","北極星藥業-KY"
217,"2023 第一季","273,509","380,110","長科*"
218,"2023 第二季","543,320","864,258","長科*"
219,"2023 第三季","863,838","1,284,707","長科*"
221,"2024 第一季","274,698","436,921","長科*"
222,"2023 第一季","189,412","62,576","愛普*"
224,"2023 第三季","676,722","1,076,870","愛普*"
225,"2023 第四季","902,225","8.93","愛普*"
226,"2024 第一季","238,893","2.27","愛普*"
228,"2023 第二季","394,124","316,630","達發"
229,"2023 第三季","858,802","801,313","達發"
230,"2023 第四季","1,010,613","-60,341","達發"
233,"2023 第二季","121,421","8.14","穎崴"
235,"2023 第四季","231,882","13.52","穎崴"
236,"2024 第一季","78,514","5.81","穎崴"
237,"2023 第一季","2,797,614","8,280","台塑化"
238,"2023 第二季","5,643,813","6,022","台塑化"
239,"2023 第三季","8,769,519","-4,987","台塑化"
240,"2023 第四季","11,618,107","45,201","台塑化"
241,"2024 第一季","2,858,276","2,931","台塑化"
242,"2023 第一季","351,882","6,500","晶碩"
244,"2023 第三季","1,207,802","1,078,861","晶碩"
245,"2023 第四季","1,687,173","22,029","晶碩"
246,"2024 第一季","403,966","5,139","晶碩"
247,"2023 第一季","1,448,656","5,000,228","環球晶"
248,"2023 第二季","2,982,988","9,789,589","環球晶"
249,"2023 第三季","4,519,151","15,328,831","環球晶"
250,"2023 第四季","6,382,005","-461,302","環球晶"
251,"2024 第一季","1,200,031","3,533,833","環球晶"
252,"2023 第一季","1,547,439","3,927","保瑞"
253,"2023 第二季","2,894,216","12,729","保瑞"
255,"2023 第四季","5,249,139","41,779","保瑞"
256,"2024 第一季","892,043","27,524","保瑞"
261,"2024 第一季","17,585","1","藥華藥"
262,"2023 第一季","1,529,910","-253,983","矽力*-KY"
263,"2023 第二季","2,993,740","385,559","矽力*-KY"
264,"2023 第三季","4,767,520","1,523,414","矽力*-KY"
265,"2023 第四季","6,579,439","-844","矽力*-KY"
266,"2024 第一季","1,991,483","1,334,185","矽力*-KY"
267,"2023 第一季","4,230,075","280","樺漢"
268,"2023 第二季","148,690","707,890","樺漢"
270,"2023 第四季","199,283","-79,599","樺漢"
271,"2024 第一季","184,783","886,393","樺漢"
272,"2023 第一季","821,970","623,512","群電"
273,"2023 第二季","1,810,945","1,127,960","群電"
275,"2023 第四季","3,738,747","3,294,677","群電"
276,"2024 第一季","891,030","859,641","群電"
277,"2023 第一季","239,724","745,913","旭隼"
278,"2023 第二季","483,693","2,067,943","旭隼"
279,"2023 第三季","717,616","2,697,586","旭隼"
280,"2023 第四季","933,367","3,622,556","旭隼"
281,"2024 第一季","227,717","713,868","旭隼"
282,"2023 第一季","1,977,741","406","啟碁"
284,"2023 第三季","6,606,998","93,248","啟碁"
285,"2023 第四季","8,923,269","-35,037","啟碁"
287,"2023 第一季","628,564","284,694","台表科"
288,"2023 第二季","1,326,035","916,634","台表科"
289,"2023 第三季","2,033,657","1,829,855","台表科"
290,"2023 第四季","2,787,164","2,255,469","台表科"
292,"2023 第一季","93,224","-0.77","台燿"
293,"2023 第二季","173,732","0.23","台燿"
294,"2023 第三季","237,845","1.6","台燿"
295,"2023 第四季","310,463","-185,432","台燿"
296,"2024 第一季","82,624","1.66","台燿"
297,"2023 第一季","338,771","82,461","矽格"
298,"2023 第二季","711,209","205,691","矽格"
299,"2023 第三季","1,137,635","335,320","矽格"
300,"2023 第四季","1,500,561","2,664,897","矽格"
301,"2024 第一季","400,020","119,892","矽格"
302,"2023 第一季","822,338","296,065","力成"
303,"2023 第二季","1,869,938","692,234","力成"
304,"2023 第三季","3,128,863","1,112,623","力成"
305,"2023 第四季","4,455,409","9,363,758","力成"
306,"2024 第一季","1,162,488","1,736,636","力成"
307,"2023 第一季","939,346","30,111","旺矽"
308,"2023 第二季","1,973,971","622,676","旺矽"
309,"2023 第三季","3,098,662","1,034,895","旺矽"
310,"2023 第四季","4,250,049","1,309,575","旺矽"
311,"2024 第一季","1,025,892","177,160","旺矽"
312,"2023 第一季","3,153","486,146","精誠"
313,"2023 第二季","834,036","881,699","精誠"
314,"2023 第三季","12,302","1,283,620","精誠"
315,"2023 第四季","44,375","1,578,888","精誠"
316,"2024 第一季","5,104","685,991","精誠"
317,"2023 第一季","541,901","99,991","聯茂"
318,"2023 第二季","1,064,592","-428,279","聯茂"
319,"2023 第三季","1,575,099","371,884","聯茂"
320,"2023 第四季","2,110,768","-280,579","聯茂"
321,"2024 第一季","537,616","825,128","聯茂"
322,"2023 第一季","412,668","166,927","精成科"
323,"2023 第二季","954,258","407,956","精成科"
324,"2023 第三季","1,388,485","1,312,527","精成科"
325,"2023 第四季","1,846,165","637,519","精成科"
326,"2024 第一季","498,111","720,428","精成科"
327,"2023 第一季","705,484","808,374","瑞儀"
328,"2023 第二季","1,539,175","2,660,246","瑞儀"
329,"2023 第三季","2,448,475","5,177,850","瑞儀"
330,"2023 第四季","3,296,282","-245,804","瑞儀"
331,"2024 第一季","904,080","2,534,905","瑞儀"
332,"2023 第一季","757,638","1,456,129","頎邦"
333,"2023 第二季","1,787,078","1,273,531","頎邦"
334,"2023 第三季","2,635,090","3,243,058","頎邦"
335,"2023 第四季","3,325,994","-45,318","頎邦"
336,"2024 第一季","125,914","1,479,047","頎邦"
337,"2023 第一季","403,539","319,472","亞翔"
338,"2023 第二季","764,831","786,459","亞翔"
339,"2023 第三季","911,003","1,769,575","亞翔"
340,"2023 第四季","1,142,919","64,648","亞翔"
341,"2024 第一季","405,885","931,374","亞翔"
342,"2023 第一季","1,735,769","1,242,959","新普"
343,"2023 第二季","2,199,609","2,807,803","新普"
344,"2023 第三季","3,510,458","5,292,983","新普"
345,"2023 第四季","4,726,346","-237,329","新普"
346,"2024 第一季","1,054,783","1,769,883","新普"
347,"2023 第一季","58,949","8,430","群益證"
348,"2023 第二季","2,103,041","17,728","群益證"
350,"2023 第四季","2,887,473","43,272","群益證"
351,"2024 第一季","212,282","360","群益證"
357,"2023 第一季","13,700","0.88","全家"
359,"2023 第三季","56,097","1,189,718","全家"
360,"2023 第四季","84,941","1,638,589","全家"
361,"2024 第一季","15,195","1.17","全家"
363,"2023 第二季","-3,837,352","-964","合庫金"
364,"2023 第三季","-12,505,365","451","合庫金"
365,"2023 第四季","1,245,069","9,524,006","合庫金"
366,"2024 第一季","-11,472,158","756","合庫金"
367,"2023 第一季","102,734","1,343,572","上海商銀"
368,"2023 第二季","165,551","981,149","上海商銀"
369,"2023 第三季","276,134","6,591,273","上海商銀"
370,"2023 第四季","58,233","4,006,061","上海商銀"
371,"2024 第一季","314","3,079,792","上海商銀"
372,"2023 第一季","881,162","9,877,490","中租-KY"
373,"2023 第二季","1,908,631","18,965,212","中租-KY"
374,"2023 第三季","3,118,219","28,005,474","中租-KY"
375,"2023 第四季","4,133,131","36,212,948","中租-KY"
376,"2024 第一季","995,159","8,219,397","中租-KY"
377,"2023 第一季","404,035","144,288","長虹"
378,"2023 第二季","789,493","0","長虹"
379,"2023 第三季","884,936","0","長虹"
380,"2023 第四季","6,791,715","1,835,927","長虹"
381,"2024 第一季","331,955","86,948","長虹"
382,"2023 第一季","12,307","1.41","遠雄"
383,"2023 第二季","12,307","1.42","遠雄"
384,"2023 第三季","24,829","2.19","遠雄"
385,"2023 第四季","34,878","3,717,627","遠雄"
386,"2024 第一季","0","0.56","遠雄"
392,"2023 第一季","1,794,135","-1,302,287","中美晶"
393,"2023 第二季","3,677,270","-1,107,205","中美晶"
394,"2023 第三季","5,588,417","460,064","中美晶"
395,"2023 第四季","8,079,809","-319,692","中美晶"
396,"2024 第一季","4,355,479","1,902,010","中美晶"
397,"2023 第一季","287,685","743,744","崇越"
398,"2023 第二季","537,328","1,411,618","崇越"
399,"2023 第三季","813,302","2,216,640","崇越"
401,"2024 第一季","220,422","778,805","崇越"
402,"2023 第一季","663,260","0","中光電"
403,"2023 第二季","1,417,366","-377,315","中光電"
404,"2023 第三季","2,145,153","948,781","中光電"
405,"2023 第四季","2,901,998","1,413,047","中光電"
406,"2024 第一季","648,879","13","中光電"
407,"2023 第一季","1,365,294","1,363,819","世界"
408,"2023 第二季","3,171,032","3,358,945","世界"
409,"2023 第三季","4,835,987","4,982,328","世界"
411,"2024 第一季","1,233,037","1,272,079","世界"
412,"2023 第一季","149,743","4.93","信驊"
413,"2023 第二季","305,117","11.3","信驊"
414,"2023 第三季","464,628","18.46","信驊"
415,"2023 第四季","212,670","1,006,571","信驊"
417,"2023 第一季","349,216","829,705","祥碩"
419,"2023 第三季","1,039,652","1,474,090","祥碩"
420,"2023 第四季","1,389,021","-59,755","祥碩"
421,"2024 第一季","387,897","917,240","祥碩"
422,"2023 第一季","977,885","4.46","譜瑞-KY"
424,"2023 第三季","3,009,207","17.53","譜瑞-KY"
425,"2023 第四季","1,966,527","25.55","譜瑞-KY"
426,"2024 第一季","1,111,295","7.17","譜瑞-KY"
427,"2023 第一季","3,856,616","1,409,739","臻鼎-KY"
428,"2023 第二季","7,867,355","-1,454,218","臻鼎-KY"
429,"2023 第三季","12,875,448","7,361,234","臻鼎-KY"
