"id","季度","營業利益損失","母公司業主淨利損","公司名稱"
670,"2023 第四季","5,748,493","-352","鼎固-KY"
671,"2024 第一季","101,377","1,524,834","鼎固-KY"
672,"2023 第一季","31,970","7,006,572","潤泰全"
673,"2023 第二季","62,882","8,446,734","潤泰全"
674,"2023 第三季","68,897","-1,222,356","潤泰全"
675,"2023 第四季","65,808","25,780","潤泰全"
676,"2024 第一季","9,545","2,142,281","潤泰全"
677,"2023 第一季","3,442,437","-84,585","統一超"
678,"2023 第二季","6,945,285","439,407","統一超"
679,"2023 第三季","10,847,817","1,412,432","統一超"
680,"2023 第四季","13,750,476","-52,590","統一超"
681,"2024 第一季","3,651,667","1,338,895","統一超"
682,"2023 第一季","1,652,224","788,174","遠百"
683,"2023 第二季","2,981,829","2,574,090","遠百"
684,"2023 第三季","4,107,730","3,050,534","遠百"
685,"2023 第四季","5,500,612","8,253","遠百"
686,"2024 第一季","1,217,295","578,947","遠百"
687,"2023 第一季","-5,980","0","第一金"
688,"2023 第二季","-5,980","4,513,896","第一金"
689,"2023 第三季","-149,879","3,327,599","第一金"
690,"2023 第四季","-409,275","-274,576","第一金"
691,"2024 第一季","0","0","第一金"
692,"2023 第一季","149,596","15","中信金"
693,"2023 第二季","156,098","-8,925","中信金"
694,"2023 第三季","157,553","-8,136","中信金"
695,"2023 第四季","264,106","-126,177","中信金"
696,"2024 第一季","925,634","25","中信金"
697,"2023 第一季","20,747","-2,442","永豐金"
698,"2023 第二季","81,533","-300,200","永豐金"
699,"2023 第三季","-25,023","4,648,482","永豐金"
700,"2023 第四季","1,717,933","-103,173","永豐金"
701,"2024 第一季","31,609","530,336","永豐金"
702,"2023 第一季","-52,131","43,741","國票金"
703,"2023 第二季","-101,436","55,633","國票金"
704,"2023 第三季","-150,298","73,595","國票金"
705,"2023 第四季","-206,675","-22,625","國票金"
706,"2024 第一季","-53,595","-33,667","國票金"
707,"2023 第一季","3,857","116,236","新光金"
708,"2023 第二季","-793,087","144,725","新光金"
709,"2023 第三季","-2,431,574","1,015,849","新光金"
710,"2023 第四季","-3,555,020","-78,261","新光金"
711,"2024 第一季","-646,551","134,598","新光金"
712,"2023 第一季","63,982","-61,058","台新金"
713,"2023 第二季","2,305,084","-98,619","台新金"
714,"2023 第三季","5,109,774","-82,218","台新金"
715,"2023 第四季","750,774","1,081,360","台新金"
716,"2024 第一季","2,106,949","-66,141","台新金"
717,"2023 第一季","2","1,797,056","兆豐金"
718,"2023 第二季","2","6,428,353","兆豐金"
719,"2023 第三季","2","8,335,185","兆豐金"
720,"2023 第四季","2","-1,244,307","兆豐金"
721,"2024 第一季","11,324","5,648,611","兆豐金"
722,"2023 第一季","-8,289","-192,580","元大金"
723,"2023 第二季","-127,693","-93,982","元大金"
724,"2023 第三季","-757,114","-21,682","元大金"
725,"2023 第四季","-690,387","-700,604","元大金"
726,"2024 第一季","-60,896","-251,547","元大金"
727,"2023 第一季","30,000","160,631","玉山金"
728,"2023 第二季","72,755","154,390","玉山金"
729,"2023 第三季","107,009","182,250","玉山金"
730,"2023 第四季","196,628","4,092,690","玉山金"
731,"2024 第一季","41,905","236,160","玉山金"
732,"2023 第一季","-9,350,657","244,479","開發金"
733,"2023 第二季","11,538,353","202,363","開發金"
734,"2023 第三季","721,844","-83,919","開發金"
735,"2023 第四季","270,947","-101,514","開發金"
736,"2024 第一季","-71,106","2,041,657","開發金"
737,"2023 第一季","2,027,063","-2,723","國泰金"
738,"2023 第二季","2,961,786","-2,723","國泰金"
739,"2023 第三季","3,232,399","-2,723","國泰金"
740,"2023 第四季","2,987,655","126,200","國泰金"
741,"2024 第一季","156,283","37,562,429","國泰金"
742,"2023 第一季","145,464","190","富邦金"
743,"2023 第二季","154,297","1,913","富邦金"
744,"2023 第三季","-389,137","-4,279","富邦金"
745,"2023 第四季","-592,811","-430,379","富邦金"
746,"2024 第一季","-238,423","-599","富邦金"
747,"2023 第一季","-2,365","-387,453","華南金"
748,"2023 第二季","-2,365","1,604,391","華南金"
749,"2023 第三季","-2,365","1,536,651","華南金"
750,"2023 第四季","-2,365","-200,616","華南金"
751,"2024 第一季","-6,141","3,680,616","華南金"
752,"2023 第一季","5,369,932","7,289","三商壽"
753,"2023 第二季","-5,401,180","15,640","三商壽"
754,"2023 第三季","-25,523,946","23,222","三商壽"
755,"2023 第四季","-946,716","30,878","三商壽"
756,"2024 第一季","-14,230,810","7,007","三商壽"
757,"2023 第一季","-144,678","77,233","統一證"
758,"2023 第二季","-39,224","154,382","統一證"
759,"2023 第三季","-72,144","2,378,679","統一證"
760,"2023 第四季","-60,644","3,149,201","統一證"
761,"2024 第一季","-326,102","1,206,377","統一證"
762,"2023 第一季","62,830","1,055","遠東銀"
763,"2023 第二季","127,995","-6,165","遠東銀"
764,"2023 第三季","391,498","179","遠東銀"
765,"2023 第四季","475,688","169,434","遠東銀"
766,"2024 第一季","85,946","3,760","遠東銀"
767,"2023 第一季","-13,757","-32,015","聯邦銀"
768,"2023 第二季","-18,157","9,031","聯邦銀"
769,"2023 第三季","-24,483","123,123","聯邦銀"
772,"2023 第一季","-7,935","-186,371","臺企銀"
773,"2023 第二季","-12,093","662,829","臺企銀"
774,"2023 第三季","-13,269","0","臺企銀"
775,"2023 第四季","-15,335","4,367,193","臺企銀"
776,"2024 第一季","-4,176","-999,879","臺企銀"
777,"2023 第一季","-495","370,094","台中銀"
778,"2023 第二季","14","308,954","台中銀"
779,"2023 第三季","-466","-81,801","台中銀"
780,"2023 第四季","-1,373","-53,275","台中銀"
781,"2024 第一季","-378","-252,699","台中銀"
782,"2023 第一季","74,509","2,064,194","京城銀"
783,"2023 第二季","105,882","0","京城銀"
784,"2023 第三季","128,978","-3,795","京城銀"
785,"2023 第四季","168,186","3,284,387","京城銀"
786,"2024 第一季","32,201","119,435","京城銀"
787,"2023 第一季","908","-1,765","彰銀"
788,"2023 第二季","-2,707","-513","彰銀"
789,"2023 第三季","-11,234","6,114","彰銀"
790,"2023 第四季","-12,980","2,998,516","彰銀"
791,"2024 第一季","-61,331","-1,428","彰銀"
792,"2023 第一季","356,558","0.83","長榮航太"
795,"2023 第四季","1,918,246","1,760,995","長榮航太"
797,"2023 第一季","66,278","-0.18","慧洋-KY"
798,"2023 第二季","123,342","1.87","慧洋-KY"
799,"2023 第三季","157,373","2.46","慧洋-KY"
800,"2023 第四季","213,692","3,270,134","慧洋-KY"
801,"2024 第一季","49,318","1.99","慧洋-KY"
802,"2023 第一季","285,487","543,667","漢翔"
803,"2023 第二季","628,518","1,297,389","漢翔"
804,"2023 第三季","1,015,469","1,957,049","漢翔"
805,"2023 第四季","1,567,285","2,276,886","漢翔"
806,"2024 第一季","318,910","804,157","漢翔"
812,"2023 第一季","-74,534","5,309,709","長榮航"
813,"2023 第二季","309,970","10,966,391","長榮航"
814,"2023 第三季","577,719","15,612,367","長榮航"
815,"2023 第四季","-53,989","285,517","長榮航"
817,"2023 第一季","43,166","-3,564,080","萬海"
818,"2023 第二季","237,552","-2,041,107","萬海"
820,"2023 第四季","-6,302,558","-7,893","萬海"
821,"2024 第一季","2,229,209","7,122,299","萬海"
822,"2023 第一季","31,070","1,305,854","華航"
823,"2023 第二季","-492,846","4,600,281","華航"
824,"2023 第三季","107,521","6,897,568","華航"
825,"2023 第四季","-866,936","-902,960","華航"
826,"2024 第一季","378,783","3,099,290","華航"
827,"2023 第一季","8,933","119,234","陽明"
828,"2023 第二季","120,368","-208,682","陽明"
829,"2023 第三季","180,331","-597,462","陽明"
830,"2023 第四季","203,389","396,833","陽明"
831,"2024 第一季","91,419","-469,349","陽明"
832,"2023 第一季","502,227","508,283","榮運"
833,"2023 第二季","1,084,080","2,325,952","榮運"
834,"2023 第三季","1,847,786","3,292,121","榮運"
835,"2023 第四季","2,606,584","626,641","榮運"
836,"2024 第一季","588,757","1,626,481","榮運"
837,"2023 第一季","468,200","-410,348","裕民"
838,"2023 第二季","1,394,640","703,413","裕民"
839,"2023 第三季","2,204,449","2,572,710","裕民"
840,"2023 第四季","3,382,110","-3,042","裕民"
841,"2024 第一季","1,052,311","2,162,423","裕民"
842,"2023 第一季","6,298","-3,738,254","長榮"
843,"2023 第二季","-290","4,137,389","長榮"
845,"2023 第四季","10,342","839,674","長榮"
846,"2024 第一季","19,120","15,021,877","長榮"
847,"2023 第一季","236,999","-306,744","潤弘"
849,"2023 第三季","758,026","754,065","潤弘"
850,"2023 第四季","1,008,654","135,824","潤弘"
851,"2024 第一季","269,955","104,678","潤弘"
853,"2023 第二季","41,746","-7,371","華固"
854,"2023 第三季","58,956","-4,132","華固"
855,"2023 第四季","84,093","3,581,783","華固"
856,"2024 第一季","15,367","-218","華固"
857,"2023 第一季","2,775","1,030,385","興富發"
858,"2023 第二季","79,318","1,567,653","興富發"
859,"2023 第三季","86,907","2,460,840","興富發"
860,"2023 第四季","178,089","6,397,567","興富發"
861,"2024 第一季","9,984","593,684","興富發"
868,"2023 第二季","891,834","0.6","櫻花建"
869,"2023 第三季","1,852,899","1.21","櫻花建"
870,"2023 第四季","3,830,484","2.24","櫻花建"
871,"2024 第一季","694,231","401,283","櫻花建"
872,"2023 第一季","809","-0.01","華建"
873,"2023 第二季","5,977","-0.03","華建"
874,"2023 第三季","6,487","-0.06","華建"
875,"2023 第四季","11,330","0.61","華建"
876,"2024 第一季","86","0.23","華建"
878,"2023 第二季","350,544","24,057","國產"
879,"2023 第三季","521,504","176,135","國產"
880,"2023 第四季","949,365","10,311","國產"
881,"2024 第一季","232,113","825,943","國產"
882,"2023 第一季","8,289","55,081","國建"
883,"2023 第二季","25,373","23,205","國建"
884,"2023 第三季","32,308","39,592","國建"
885,"2023 第四季","48,290","2,433,221","國建"
890,"2023 第四季","-4,294,681","-2,889,624","宏達電"
892,"2023 第一季","109,937","-73,356","華新科"
893,"2023 第二季","484,984","-689,839","華新科"
894,"2023 第三季","1,093,867","533,738","華新科"
895,"2023 第四季","1,795,311","-115,783","華新科"
897,"2023 第一季","-15,725","1,424,518","可成"
898,"2023 第二季","1,731,327","1,698,515","可成"
899,"2023 第三季","2,542,035","227,838","可成"
901,"2024 第一季","288,128","8,554,780","可成"
902,"2023 第一季","532,492","-517","義隆"
905,"2023 第四季","2,148,773","-1,162","義隆"
906,"2024 第一季","616,929","52","義隆"
907,"2023 第一季","31,543,480","24,079","聯發科"
908,"2023 第二季","63,438,992","-358,122","聯發科"
909,"2023 第三季","97,686,868","-383,132","聯發科"
910,"2023 第四季","135,567,532","15,216","聯發科"
911,"2024 第一季","37,720,666","-135,530","聯發科"
912,"2023 第一季","299,430","60,499","創見"
913,"2023 第二季","586,678","92,778","創見"
914,"2023 第三季","866,232","65,097","創見"
915,"2023 第四季","1,154,959","-36,833","創見"
916,"2024 第一季","597,229","933,686","創見"
917,"2023 第一季","903,025","706,179","京元電子"
918,"2023 第二季","1,864,099","548,953","京元電子"
920,"2023 第四季","3,778,263","-188,633","京元電子"
921,"2024 第一季","968,717","686,238","京元電子"
922,"2023 第一季","54,288","-111","超豐"
923,"2023 第二季","116,869","-186","超豐"
924,"2023 第三季","182,704","-344","超豐"
925,"2023 第四季","247,563","2,728,890","超豐"
926,"2024 第一季","66,001","-106","超豐"
927,"2023 第一季","8,407,281","-820","中華電"
928,"2023 第二季","16,535,692","2,120","中華電"
929,"2023 第三季","24,886,924","6,254","中華電"
930,"2023 第四季","34,443,940","738,355","中華電"
931,"2024 第一季","8,567,479","25,632","中華電"
933,"2023 第二季","2,522,136","738,363","友達"
934,"2023 第三季","3,816,201","342,324","友達"
935,"2023 第四季","5,019,739","1,725","友達"
936,"2024 第一季","1,451,751","-292,456","友達"
937,"2023 第一季","-2,885,363","-2,056,859","南亞科"
938,"2023 第二季","-6,069,894","-1,724,932","南亞科"
939,"2023 第三季","-10,409,935","-2,350,348","南亞科"
940,"2023 第四季","-14,460,191","1,883","南亞科"
941,"2024 第一季","-2,918,268","-1,208,488","南亞科"
942,"2023 第一季","1,810,258","-136,903","漢唐"
944,"2023 第三季","5,559,110","86,317","漢唐"
946,"2024 第一季","1,532,998","-19,811","漢唐"
947,"2023 第一季","3,409,478","-22,353","研華"
948,"2023 第二季","6,994,023","-12,478","研華"
949,"2023 第三季","10,504,990","89,255","研華"
950,"2023 第四季","14,033,564","-5,580","研華"
951,"2024 第一季","3,630,209","440,761","研華"
953,"2023 第二季","4,023,451","-714,666","正崴"
954,"2023 第三季","6,448,794","161,925","正崴"
955,"2023 第四季","8,793,890","-816,097","正崴"
956,"2024 第一季","2,090,012","736,107","正崴"
958,"2023 第二季","1,641,634","106,510","威盛"
959,"2023 第三季","2,405,218","636,628","威盛"
960,"2023 第四季","3,220,963","-108,165","威盛"
962,"2023 第一季","2,056,579","1,842,197","群光"
963,"2023 第二季","4,563,296","3,481,385","群光"
964,"2023 第三季","7,109,078","7,510,567","群光"
965,"2023 第四季","9,619,308","139,749","群光"
966,"2024 第一季","2,328,760","3,265,995","群光"
967,"2023 第一季","802,888","0","台光電"
968,"2023 第二季","1,708,744","0","台光電"
969,"2023 第三季","2,786,531","0","台光電"
970,"2023 第四季","3,986,724","5,176,656","台光電"
972,"2023 第一季","5,223,649","449,086","廣達"
973,"2023 第二季","10,543,996","2,593,178","廣達"
974,"2023 第三季","16,638,421","6,194,464","廣達"
975,"2023 第四季","23,293,587","-407","廣達"
976,"2024 第一季","5,362,553","5,440,114","廣達"
978,"2023 第二季","15,924,936","4,400,380","瑞昱"
979,"2023 第三季","25,144,797","6,972,304","瑞昱"
980,"2023 第四季","34,093,065","9,152,772","瑞昱"
981,"2024 第一季","10,281,336","3,129,508","瑞昱"
983,"2023 第二季","6,549,308","4,443,615","微星"
984,"2023 第三季","10,115,146","6,793,311","微星"
985,"2023 第四季","14,035,622","7,357,386","微星"
986,"2024 第一季","3,810,529","2.95","微星"
987,"2023 第一季","2,265,821","1,024,712","技嘉"
988,"2023 第二季","4,373,015","1,914,238","技嘉"
989,"2023 第三季","8,168,081","3,393,030","技嘉"
990,"2023 第四季","11,680,266","120,095","技嘉"
991,"2024 第一季","3,155,986","2,023,776","技嘉"
993,"2023 第二季","1,516,517","1,005,213","大同"
995,"2023 第四季","2,993,182","-49,127","大同"
996,"2024 第一季","715,032","1,241","大同"
997,"2023 第一季","180,861","430,336","金像電"
998,"2023 第二季","407,272","-165,430","金像電"
999,"2023 第三季","635,749","121,410","金像電"
1000,"2023 第四季","-44,485","-165,579","金像電"
1002,"2023 第一季","96,940","-88,916","矽統"
1003,"2023 第二季","254,318","774,043","矽統"
1004,"2023 第三季","385,015","684,321","矽統"
1005,"2023 第四季","507,842","477","矽統"
1006,"2024 第一季","111,065","-210,824","矽統"
1008,"2023 第二季","1,427,683","604,657","藍天"
1009,"2023 第三季","2,272,992","852,162","藍天"
1010,"2023 第四季","3,151,809","-792,838","藍天"
1011,"2024 第一季","736,268","830,492","藍天"
1012,"2023 第一季","437,469","-28,247","致茂"
1013,"2023 第二季","870,410","51,278","致茂"
1014,"2023 第三季","1,306,813","192,353","致茂"
1016,"2024 第一季","-7,714","324,778","致茂"
1017,"2023 第一季","13,841,571","-140,941","華碩"
1019,"2023 第三季","43,970,381","612,055","華碩"
1020,"2023 第四季","61,240,708","26,153","華碩"
1021,"2024 第一季","14,683,917","946,358","華碩"
1022,"2023 第一季","4,637,062","0","英業達"
1024,"2023 第三季","14,109,835","0","英業達"
1025,"2023 第四季","18,874,919","-5,500","英業達"
1027,"2023 第一季","332,328","765,218","鴻準"
1028,"2023 第二季","2,058,333","-864,167","鴻準"
1029,"2023 第三季","3,096,235","3,451,151","鴻準"
1030,"2023 第四季","4,258,374","-884,684","鴻準"
1032,"2023 第一季","14,026","-218,085","宏碁"
1033,"2023 第二季","25,863","689","宏碁"
1035,"2023 第四季","60,032","-568","宏碁"
1036,"2024 第一季","13,255","2,105,048","宏碁"
1037,"2023 第一季","6,645,247","-15,793","佳世達"
1038,"2023 第二季","13,698,776","-3,047","佳世達"
1039,"2023 第三季","20,725,779","127,190","佳世達"
1040,"2023 第四季","28,064,731","-76,241","佳世達"
1041,"2024 第一季","6,583,389","117,776","佳世達"
1042,"2023 第一季","2,065,473","850,540","聯強"
1044,"2023 第三季","6,008,949","4,113,477","聯強"
1045,"2023 第四季","8,634,314","-1,260,312","聯強"
1046,"2024 第一季","2,334,328","2,196,482","聯強"
1047,"2023 第一季","834,895","69,302","智邦"
1048,"2023 第二季","1,725,566","-18,501","智邦"
1049,"2023 第三季","2,766,504","225,829","智邦"
1050,"2023 第四季","3,780,598","-94,147","智邦"
1051,"2024 第一季","969,134","2,880,345","智邦"
1052,"2023 第一季","5,960,844","1,175,956","華邦電"
1054,"2023 第三季","18,142,249","-2,650,064","華邦電"
1055,"2023 第四季","24,025,958","-621,874","華邦電"
1056,"2024 第一季","5,748,366","-1,146,809","華邦電"
1057,"2023 第一季","-439,052","-2,705","旺宏"
1058,"2023 第二季","-605,543","219,916","旺宏"
1059,"2023 第三季","6,907,583","52","旺宏"
1060,"2023 第四季","9,167,759","-1,699,593","旺宏"
1061,"2024 第一季","-1,301,646","-522,085","旺宏"
1062,"2023 第一季","47,109","1,351,881","台積電"
1063,"2023 第二季","-135","401,176","台積電"
1064,"2023 第三季","131,095","-1,455,025","台積電"
1065,"2023 第四季","188,694","-14,464,353","台積電"
1066,"2024 第一季","-129,682","-558,289","台積電"
1067,"2023 第一季","101,004","216,943","華泰"
1069,"2023 第三季","1","35,447","華泰"
1070,"2023 第四季","1","11,374","華泰"
1071,"2024 第一季","518,217","499,349","華泰"
1072,"2023 第一季","5,383","-21,916","國巨"
1073,"2023 第二季","3,645","-16,060","國巨"
1074,"2023 第三季","1,700","6,024","國巨"
1075,"2023 第四季","5,264","-103,803","國巨"
1076,"2024 第一季","1,993","0","國巨"
1077,"2023 第一季","2,254,027","35,914","仁寶"
1078,"2023 第二季","5,014,438","-149,811","仁寶"
1079,"2023 第三季","8,662,511","96,653","仁寶"
1080,"2023 第四季","12,047,711","-103,664","仁寶"
1082,"2023 第一季","40,523,025","-14,975","鴻海"
1084,"2023 第三季","117,598,322","-37,462","鴻海"
1085,"2023 第四季","166,528,495","-3,218,901","鴻海"
1086,"2024 第一季","36,750,532","0","鴻海"
1088,"2023 第二季","2,264,025","467,185","華通"
1090,"2023 第四季","4,908,018","-414,778","華通"
1091,"2024 第一季","1,259,417","894,984","華通"
1092,"2023 第一季","17,161,116","-55,278","台達電"
1093,"2023 第二季","36,249,237","-56,399","台達電"
1094,"2023 第三季","56,221,884","-2,307","台達電"
1095,"2023 第四季","76,263,191","-2,307","台達電"
1096,"2024 第一季","19,553,862","402,675","台達電"
1097,"2023 第一季","5,780,532","6,968","聯電"
1098,"2023 第二季","11,498,689","-78,908","聯電"
1099,"2023 第三季","17,220,388","169,593","聯電"
1100,"2023 第四季","23,855,503","-2,386,278","聯電"
1101,"2024 第一季","5,747,882","237,993","聯電"
1102,"2023 第一季","6,421,802","441","光寶科"
1103,"2023 第二季","15,100,030","264","光寶科"
1105,"2023 第四季","32,668,082","77,852","光寶科"
1106,"2024 第一季","5,847,337","1,401","光寶科"
1110,"2023 第四季","-2,380,559","-1,928,493","鴻華先進-創"
1112,"2023 第一季","131,035","66,770","裕日車"
1113,"2023 第二季","275,014","-369,680","裕日車"
1114,"2023 第三季","415,486","245,228","裕日車"
1115,"2023 第四季","1,856,700","-3,502","裕日車"
1116,"2024 第一季","142,629","639,675","裕日車"
1118,"2023 第二季","1,730,280","302,427","長榮鋼"
1119,"2023 第三季","2,729,776","496,870","長榮鋼"
1120,"2023 第四季","3,335,154","1,100,558","長榮鋼"
1121,"2024 第一季","685,388","109,677","長榮鋼"
1122,"2023 第一季","811,293","502,856","和泰車"
1123,"2023 第二季","1,072,880","0","和泰車"
1124,"2023 第三季","1,904,833","11,173,422","和泰車"
1125,"2023 第四季","2,354,421","195,695,955","和泰車"
1126,"2024 第一季","325,140","512,516","和泰車"
1127,"2023 第一季","1,545,386","0","三陽工業"
1128,"2023 第二季","3,408,500","0","三陽工業"
1129,"2023 第三季","5,341,752","0","三陽工業"
1130,"2023 第四季","7,299,343","-762","三陽工業"
1131,"2024 第一季","1,692,743","0","三陽工業"
1132,"2023 第一季","1,490,789","7,847","中華"
1133,"2023 第二季","2,970,959","-85,454","中華"
1134,"2023 第三季","4,441,948","-33,592","中華"
1135,"2023 第四季","6,055,624","-150,544","中華"
1136,"2024 第一季","1,911,722","105,631","中華"
1137,"2023 第一季","1,203,853","596,553","裕隆"
1138,"2023 第二季","2,695,885","1,205,530","裕隆"
1139,"2023 第三季","4,145,702","1,805,487","裕隆"
1140,"2023 第四季","5,752,953","2,297,646","裕隆"
1141,"2024 第一季","1,566,056","458,494","裕隆"
1142,"2023 第一季","3,137,071","1,870,551","正新"
1144,"2023 第三季","9,797,830","5,945,758","正新"
1145,"2023 第四季","13,030,879","-263,913","正新"
1146,"2024 第一季","3,212,632","3,387,394","正新"
1147,"2023 第一季","19,966","32,529","南港"
1148,"2023 第二季","37,952","-82,656","南港"
1150,"2023 第四季","77,711","-88,020","南港"
1151,"2024 第一季","19,946","194,718","南港"
1152,"2023 第一季","-12,364","4.8","川湖"
1153,"2023 第二季","307,107","12.3","川湖"
1154,"2023 第三季","464,942","22.61","川湖"
1155,"2023 第四季","-15,083","2,703,783","川湖"
1156,"2024 第一季","-2,919","14.55","川湖"
1157,"2023 第一季","222,208","245,414","上銀"
1158,"2023 第二季","1,528,195","1,070,817","上銀"
1159,"2023 第三季","2,472,195","1,702,094","上銀"
1160,"2023 第四季","2,650,950","157,015","上銀"
1161,"2024 第一季","1,188,973","573,779","上銀"
1163,"2023 第二季","-907","425,889","大成鋼"
1164,"2023 第三季","-1,891","451,807","大成鋼"
1165,"2023 第四季","-15,415","161,330","大成鋼"
1166,"2024 第一季","-2,211","2,807,869","大成鋼"
1167,"2023 第一季","10,550","191,055","豐興"
1168,"2023 第二季","21,182","166,937","豐興"
1169,"2023 第三季","31,953","7,173","豐興"
1170,"2023 第四季","43,170","103,330","豐興"
1171,"2024 第一季","12,283","-37,951","豐興"
1172,"2023 第一季","1,462,566","1,218,111","東和鋼鐵"
1173,"2023 第二季","2,863,782","2,407,279","東和鋼鐵"
1174,"2023 第三季","4,320,644","87,232","東和鋼鐵"
1175,"2023 第四季","5,998,700","-122,960","東和鋼鐵"
1176,"2024 第一季","1,405,941","111,325","東和鋼鐵"
1177,"2023 第一季","3,414,249","-588","中鋼"
1179,"2023 第三季","9,968,803","1,630","中鋼"
1180,"2023 第四季","13,186,803","-121,107","中鋼"
1181,"2024 第一季","3,338,317","2,410","中鋼"
1182,"2023 第一季","2,145,775","-367,538","永豐餘"
1183,"2023 第二季","4,404,210","648,057","永豐餘"
1184,"2023 第三季","6,882,976","407,899","永豐餘"
1185,"2023 第四季","10,083,296","447,034","永豐餘"
1186,"2024 第一季","2,699,714","2,858,014","永豐餘"
1187,"2023 第一季","257,866","866,977","潤隆"
1188,"2023 第二季","596,503","2,243,128","潤隆"
1190,"2023 第四季","1,447,617","7,756,659","潤隆"
1191,"2024 第一季","105,218","338,500","潤隆"
1192,"2023 第一季","1,186,722","219,233","台玻"
1193,"2023 第二季","2,372,500","-924,046","台玻"
1194,"2023 第三季","3,672,923","843,836","台玻"
1196,"2024 第一季","1,138,310","291,316","台玻"
1197,"2023 第一季","1,043,605","1,193,923","美時"
1198,"2023 第二季","2,035,810","2,450,876","美時"
1200,"2023 第四季","4,480,870","4,264,881","美時"
1201,"2024 第一季","1,047,913","1,036,296","美時"
1203,"2023 第二季","631,549","-27,197","勝一"
1205,"2023 第四季","-1,143","-9,904","勝一"
1206,"2024 第一季","411,395","15,980","勝一"
1208,"2023 第二季","9,464,597","897,307","台肥"
1209,"2023 第三季","705,561","3,709,285","台肥"
1210,"2023 第四季","9,713,108","1,594,812","台肥"
1211,"2024 第一季","2,928,882","253,332","台肥"
1212,"2023 第一季","1,465,763","106,097","長興"
1213,"2023 第二季","3,077,315","-761,458","長興"
1214,"2023 第三季","4,627,955","478,436","長興"
1215,"2023 第四季","6,232,499","-591,376","長興"
1216,"2024 第一季","1,554,431","65,300","長興"
1217,"2023 第一季","10,562","59,134","大亞"
1218,"2023 第二季","20,188","126,675","大亞"
1219,"2023 第三季","29,061","181,187","大亞"
1221,"2024 第一季","21,918","167,207","大亞"
1222,"2023 第一季","2,738,411","-138,585","華新"
1223,"2023 第二季","4,403,493","-384,906","華新"
1224,"2023 第三季","6,125,328","2,703,124","華新"
1225,"2023 第四季","6,240,766","-821,116","華新"
1226,"2024 第一季","486,942","3,124,684","華新"
1227,"2023 第一季","189,107","1,622,682","亞德客-KY"
1228,"2023 第二季","392,675","3,326,820","亞德客-KY"
1230,"2023 第四季","895,969","6,965,808","亞德客-KY"
1231,"2024 第一季","247,589","1,829,263","亞德客-KY"
1233,"2023 第二季","-447","-23,929","中砂"
1234,"2023 第三季","-323","-59,761","中砂"
1235,"2023 第四季","-524","10,040","中砂"
1236,"2024 第一季","86","-18,028","中砂"
1237,"2023 第一季","80,706","202,854","華城"
1238,"2023 第二季","1,348,506","15,227","華城"
1239,"2023 第三季","2,546,779","-25,508","華城"
1240,"2023 第四季","4,334,019","-16,185","華城"
1241,"2024 第一季","1,041,852","8,393","華城"
1242,"2023 第一季","29,878","-16,522","亞力"
1243,"2023 第二季","61,735","7,723","亞力"
1245,"2023 第四季","123,520","-131,856","亞力"
1246,"2024 第一季","30,235","45,421","亞力"
1247,"2023 第一季","553,189","1,454,306","中興電"
1248,"2023 第二季","742,803","1,769,758","中興電"
1249,"2023 第三季","1,644,547","1,823,884","中興電"
1250,"2023 第四季","2,032,422","1,220,975","中興電"
1251,"2024 第一季","587,326","2,773,207","中興電"
1252,"2023 第一季","265,758","-45,336","東元"
1253,"2023 第二季","547,941","1,140,377","東元"
1254,"2023 第三季","817,843","-3,463,881","東元"
1255,"2023 第四季","1,133,493","-2,657,964","東元"
1256,"2024 第一季","244,145","875,698","東元"
1257,"2023 第一季","813,388","1,095,651","士電"
1258,"2023 第二季","1,554,331","1,882,076","士電"
1259,"2023 第三季","2,004,441","2,752,626","士電"
1261,"2024 第一季","612,453","1,541,470","士電"
1262,"2023 第一季","1,217,024","5,186","聚陽"
1263,"2023 第二季","2,207,572","26,354","聚陽"
1264,"2023 第三季","3,679,358","34,466","聚陽"
1265,"2023 第四季","4,839,688","3,991,194","聚陽"
1266,"2024 第一季","1,351,635","5,794","聚陽"
1267,"2023 第一季","1,127,858","3.01","儒鴻"
1268,"2023 第二季","2,787,986","8.09","儒鴻"
1269,"2023 第三季","4,608,226","13.77","儒鴻"
1270,"2023 第四季","6,548,850","5,176,467","儒鴻"
1271,"2024 第一季","1,476,484","5.19","儒鴻"
1272,"2023 第一季","38,694","81,603","福懋"
1273,"2023 第二季","84,010","547,746","福懋"
1274,"2023 第三季","119,443","597,856","福懋"
1275,"2023 第四季","280,636","665,729","福懋"
1276,"2024 第一季","24,249","179,316","福懋"
1277,"2023 第一季","1,655","202,040","遠東新"
1278,"2023 第二季","82,619,811","414,648","遠東新"
1279,"2023 第三季","125,576,292","554,842","遠東新"
1280,"2023 第四季","168,089,093","740,275","遠東新"
1281,"2024 第一季","2,978","1,264,574","遠東新"
1282,"2023 第一季","212,935","13,554,750","台化"
1283,"2023 第二季","462,332","8,943,874","台化"
1284,"2023 第三季","652,318","14,069,520","台化"
1285,"2023 第四季","925,014","10,367,021","台化"
1286,"2024 第一季","198,814","-8,369,723","台化"
1287,"2023 第一季","768,795","490,406","東陽"
1288,"2023 第二季","1,583,452","1,248,353","東陽"
1289,"2023 第三季","2,423,333","2,222,663","東陽"
1290,"2023 第四季","3,389,282","-53,557","東陽"
1291,"2024 第一季","877,030","1,172,110","東陽"
