代號,名稱,發行量(股),股價,日期,112季,dividend_per_share
6176,瑞儀,465000,189.5,2024-06-28,4650273.0,10.000587096774193
2542,興富發,1884000,52.1,2024-06-28,1057848.0,0.5614904458598726
2354,鴻準,1414000,71.3,2024-06-28,2263176.0,1.6005487977369166
1513,中興電,503100,188.0,2024-06-28,1667144.0,3.3137427946730273
9958,世紀鋼,256900,302.0,2024-06-28,116626.0,0.4539743090696769
2027,大成鋼,2434000,35.9,2024-06-28,4287813.0,1.7616322925225965
9941,裕融,548200,149.5,2024-06-28,2990964.0,5.455972272893105
3035,智原,260600,336.0,2024-06-28,1242752.0,4.768810437452034
2540,愛山林,416599,187.0,2024-06-28,,
6472,保瑞,101600,829.0,2024-06-28,619134.0,6.093838582677165
6121,新普,185000,427.5,2024-06-28,5105186.0,27.5956
2915,潤泰全,1104000,68.2,2024-06-28,2168385.0,1.9641168478260869
6285,啟碁,485300,161.0,2024-06-28,2024042.0,4.170702658149598
2352,佳世達,1967000,38.4,2024-06-28,3933564.0,1.9997783426537874
2049,上銀,353800,213.0,2024-06-28,1945857.0,5.49987846240814
2201,裕隆,1070000,66.8,2024-06-28,2995114.0,2.7991719626168226
3324,雙鴻,90900,807.0,2024-06-28,577375.0,6.351760176017602
4763,材料-KY,86300,891.0,2024-06-28,997472.0,11.55819235225956
3406,玉晶光,112700,662.0,2024-06-28,1360405.0,12.07102928127773
3406,玉晶光,112700,662.0,2024-06-28,1360405.0,12.07102928127773
4966,譜瑞-KY,81199,838.0,2024-06-28,2439014.0,30.037488146405742
9914,美利達,299000,216.5,2024-06-28,2094202.0,7.004020066889632
2204,中華,553600,124.0,2024-06-28,2214481.0,4.000146315028902
3023,信邦,240000,292.0,2024-06-28,2030999.0,8.462495833333334
1319,東陽,591500,108.0,2024-06-28,1478693.0,2.499903634826712
3005,神基,611800,114.0,2024-06-28,2294771.0,3.750851585485453
5522,遠雄,781600,80.5,2024-06-28,3126385.0,3.999980808597748
2404,漢唐,190600,366.0,2024-06-28,2813801.0,14.762859391395592
1722,台肥,980000,64.3,2024-06-28,2450000.0,2.5
6592,和潤企業,566500,112.5,2024-06-28,,
2211,長榮鋼,417100,139.5,2024-06-28,2085457.0,4.9998969072164945
2206,三陽工業,797500,78.9,2024-06-28,1435481.0,1.7999761755485892
6531,愛普*,162200,386.5,2024-06-28,1132442.0,6.981763255240444
2492,華新科,485800,118.0,2024-06-28,1165922.0,2.4000041169205435
2504,國產,1180000,43.1,2024-06-28,2360000.0,2.0
