Date,Open,High,Low,Close,Adj Close,Volume
6/5/2014,9127.55957,9140.719727,9094.129883,9140.719727,9140.685547,2772700
6/6/2014,9167.830078,9174.769531,9122.55957,9134.459961,9134.425781,2858700
6/9/2014,9153.929688,9166.580078,9138.929688,9162.740234,9162.706055,2464400
6/10/2014,9181.900391,9222.370117,9171.75,9222.370117,9222.335938,2518700
6/11/2014,9218.5,9229.799805,9204.759766,9229.799805,9229.765625,2437300
6/12/2014,9209.990234,9220.889648,9186.790039,9204.650391,9204.616211,2618000
6/13/2014,9192.730469,9207.740234,9171.509766,9196.389648,9196.355469,2357800
6/16/2014,9196.230469,9214.19043,9179.55957,9202.929688,9202.895508,2374500
6/17/2014,9223.019531,9249.870117,9200.860352,9240.599609,9240.56543,2507800
6/18/2014,9257.650391,9316.639648,9204.349609,9279.929688,9279.895508,3014200
6/19/2014,9288.69043,9324.400391,9283.379883,9316.80957,9316.775391,2202700
6/20/2014,9330.349609,9339.830078,9273.790039,9273.790039,9273.755859,2242200
6/23/2014,9293.05957,9302.650391,9225.730469,9228.349609,9228.31543,2702500
6/24/2014,9232.349609,9276.240234,9232.349609,9246.200195,9246.166016,1913700
6/25/2014,9250.129883,9255.870117,9229.799805,9242.160156,9242.125977,1987600
6/26/2014,9273.360352,9320.94043,9271.349609,9320.94043,9320.90625,2767400
6/27/2014,9316.889648,9330.950195,9303.570313,9306.830078,9306.795898,2252200
6/30/2014,9332.44043,9393.070313,9327.889648,9393.070313,9393.036133,2580300
7/1/2014,9393.070313,9463.05957,9374.280273,9441.919922,9441.885742,3004800
7/2/2014,9482,9547.049805,9421.870117,9484.959961,9484.924805,4105500
7/3/2014,9468.780273,9538.650391,9449.780273,9526.230469,9526.195313,2908200
7/4/2014,9525.929688,9550.110352,9482.94043,9510.049805,9510.014648,2889200
7/7/2014,9497.269531,9520.200195,9454.669922,9520.200195,9520.165039,2805800
7/8/2014,9515.179688,9540.570313,9499.169922,9530.980469,9530.945313,2811300
7/9/2014,9510,9522.990234,9478.759766,9489.980469,9489.945313,2679700
7/10/2014,9512.889648,9568.75,9512.889648,9565.120117,9565.083984,3202100
7/11/2014,9561.709961,9591.269531,9478.070313,9495.839844,9495.804688,3371800
7/14/2014,9497.80957,9545.990234,9488.120117,9520.299805,9520.264648,2798700
7/15/2014,9558.419922,9593.679688,9547.94043,9569.169922,9569.133789,2960700
7/16/2014,9570.330078,9574.129883,9471.650391,9484.730469,9484.695313,3060700
7/17/2014,9420.110352,9461.860352,9373.870117,9408.240234,9408.206055,2920100
7/18/2014,9335.379883,9421.339844,9335.379883,9400.969727,9400.935547,2324700
7/21/2014,9453.780273,9480.139648,9426.299805,9440.969727,9440.935547,2228000
7/22/2014,9453.230469,9499.360352,9418.740234,9499.360352,9499.325195,2277700
7/23/2014,9453.230469,9499.360352,9418.740234,9499.360352,9499.325195,2277700
7/24/2014,9508.259766,9538.070313,9483.519531,9527.540039,9527.504883,2684600
7/25/2014,9519.990234,9528.700195,9412.480469,9439.290039,9439.255859,2532200
